"author_name","author_url","language","original_language","profile_photo_url","rating","relative_time_description","text","time","translated","restaurant"
"Miguel A. Gonzalez","https://www.google.com/maps/contrib/106004362538945718802/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjXqL7HvXRBxYro99s1JVgQE8ySyFIJBZ5PSn2HwFyLTVqZKy5VO2Q=s128-c0x00000000-cc-rp-mo-ba3",4.1,"4 months ago","One of the best Dominican restaurants in the city. The food is delicious, and the staff is super friendly and professional.
They will make you feel like home.
Highly recommended!
Five stars and two thumbs up!",1733015837,FALSE,"CAMPESINO DOMINICANO RESTAURANT"
"Ana Perez","https://www.google.com/maps/contrib/103362420314120571909/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjV1Q41t7ta5xT8CNSbSQNSORZX8bcMAa8f20NnxQmVWiHOhi4K-=s128-c0x00000000-cc-rp-mo-ba3",4.1,"a year ago","This restaurant gave me “Ajo y Oregano” vibes. The decoration, the dishes and cups where the food is served resemble to the country side of DR. The mofongos were delicious. I was not expecting the cheese sauce to be that good. Will definitely go back for another one.",1685586911,FALSE,"CAMPESINO DOMINICANO RESTAURANT"
"Luis Jansen","https://www.google.com/maps/contrib/107633420001484950798/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocLj2jrxpKqOfQAAKsxIbXs0NkhxC0KIotv4sW37po7PoiX30g=s128-c0x00000000-cc-rp-mo-ba5",4.1,"6 months ago","Great food, very clean restaurant, good prices and awesome service!!!",1729079209,FALSE,"CAMPESINO DOMINICANO RESTAURANT"
"Klein Visuals","https://www.google.com/maps/contrib/106650206078679560143/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjXPu7vik0ama4YFIBo_PhOK38fLtc5qSXwVBY4mDm3MQ2lb2N1U=s128-c0x00000000-cc-rp-mo-ba5",4.1,"a year ago","I found a Dominican restaurant near campus that served good food! I was on my break from campus, and I needed to try this place out. I got stew chicken with rice. Very delicious. The lady who served me was very polite and nice. Also, the restaurant looked very organized and colorful. I heard that Mofongo is really good. I would go back for more and try that out next time.",1711081676,FALSE,"CAMPESINO DOMINICANO RESTAURANT"
"Cleveland Moore","https://www.google.com/maps/contrib/118218671114737713202/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVSIoRmJkgeS11MwITrRzxN7WznnSCdvkB0L-rF9M7GTbhti9P1=s128-c0x00000000-cc-rp-mo-ba3",4.1,"a month ago","It's usually a very familiar name that you can be so proud and excited to see yesterday's share modesty and post covid that witnwitness the resilience that Bronx rebound &
Reset the refresh and the most important it's 'The Bronx "" preparation for new 21st century multicultural and community unity and Relationship with our noteworthy values and customers service are priceless.",1741305861,FALSE,"CAMPESINO DOMINICANO RESTAURANT"
"Lola","https://www.google.com/maps/contrib/115269865570616211160/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjUmFB0j32oh5_rA_GkH0runs_O917BnOfOslUM8dYLyM9ysUNR3=s128-c0x00000000-cc-rp-mo-ba2",4.2,"4 months ago","I only got 2 veggies patties, a slice of carrot cake, and slice of coconut cake. The patties were just ok. The coconut cake was fine but the carrot cake was the worst I’ve ever tasted. It was dry & bland with nearly burnt crust. The flavor was not good at all 👎🏿",1733263396,FALSE,"CHAMPION BAKERY"
"T S","https://www.google.com/maps/contrib/117967657531851274403/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjXzetdaAKRbn0cpyDJFmWuak_wp8PcHdNYBhCDBHGbnQGXnjzC8Ug=s128-c0x00000000-cc-rp-mo-ba2",4.2,"a week ago","The coco bread was delicious and the patty crust was flaky and delicious but the filling was just ok, not beefy enough and too much filler.  I enjoyed it though.",1744512453,FALSE,"CHAMPION BAKERY"
"Melissa Guy","https://www.google.com/maps/contrib/110746474108365497235/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVkCKwIQ6Inz9_ZaPK3pmbC-4s3eS2yeGHda1pv3cdHX5jqUtpK=s128-c0x00000000-cc-rp-mo-ba3",4.2,"a month ago","Beef patty and cocoa bread
Tasty, flaky, well seasoned.
Bread is nice, soft.",1740597903,FALSE,"CHAMPION BAKERY"
"TRESENA SCINTRON","https://www.google.com/maps/contrib/116033676946832684533/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocJ71mZNc9q2S_St2JJ3carPiWkNIRktX9xp5PtPYZAjnlDzNQ=s128-c0x00000000-cc-rp-mo",4.2,"a week ago","Very very very poor customer service from the cashier and the owner really a damn shame. U both need education and training in Customer Service because u both don't have any Customer Service Skills.",1744901870,FALSE,"CHAMPION BAKERY"
"Glen L","https://www.google.com/maps/contrib/115056021469070837195/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjUU8LNMUPKem3muYsNX78IJxvfkm6jvRB3hHzeHP4Q1-aAQNNkbaw=s128-c0x00000000-cc-rp-mo-ba6",4.2,"6 years ago","UPDATED: 3/12/2019 - After taking a year break from this place I decided to give it another try. I should have walked back just based on the attitude of the employees. Mainly how they treat each other.

Wasted my money. Nothing has improved about the food. The meat loaf was dry and crusty and the carrot juice umm 😐 still not sure how to describe the taste. Cho!

3/18/2018 - Oh how things have changed. This used to be my favorite bakery. But lately it’s been a series of disappointments. From not having beef patties (with no estimate as to when they will be ready) to being rude (I really miss the old lady that used to be at the register)

- I stopped in and ordered 2 coco bread. What I got was dry, cold and trashy. So disappointed 😢 that I toss it and went a block up to the other bakery
- their patties were decent. Every one has their own taste. So that’s debatable
- they do have a variety of products. Some of which are still good
- just don’t go there and expect a smile unless they personally know you",1552407019,FALSE,"CHAMPION BAKERY"
"Exploring Meerkats","https://www.google.com/maps/contrib/113515471035733127294/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjUtMdadmcZll7Sq2VZZwwsNht-n-01w_9lBOA444S6JhSqP1x8=s128-c0x00000000-cc-rp-mo-ba5",3.7,"a year ago","This location is still new as of spring 2023 so it is a bit busy at times.There are three businesses within this storefront which is wild considering there used to be a Liberty Travel office in the same location. The staff seems friendly. Nice addition to the other fast food options in the area.

I'm sure the neighbors upstairs enjoy the tasty smell of fresh baked goods in the morning. 😍",1684989488,FALSE,"AUNTIE ANNE'S/CINNABON"
"christian rivera","https://www.google.com/maps/contrib/103731767616081213015/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocIkF87KypnK3CtP2jkwxdKnwiqOBZ0qsGzLdu_xZUgxGOLY0g=s128-c0x00000000-cc-rp-mo",3.7,"a month ago","Went in to buy an ice cream cake and for a medium sized cake they wanted 45$ and tried to explain to me that that price was normal. I said absolutely not and went to met fresh and purchased a carvel cake that was TWICE the size of the cake they were charging 45$ for and I only paid 35$ ridiculous and a total rip off",1740947030,FALSE,"AUNTIE ANNE'S/CINNABON"
"Deya C.","https://www.google.com/maps/contrib/108199547324544183983/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVvNlQeFpYld_8zdXVhobpHr2ml10hvILf9SeAdEljfuB1JnTL9=s128-c0x00000000-cc-rp-mo-ba2",3.7,"3 months ago","(This situation happened a few months ago from todays date) I will not be coming back to this location. It poses a potential risk for your health! Be very cautious when eating here. The last time I went I ordered the mini hotdogs and the dough was raw but I didn’t realize it until after I ate one, bc it looked like melted cheese. When I asked, the cashier said that’s raw dough. I spoke to the manager about it immediately because that is a serious risk to my health and maybe the next customers’ health. I’ve been to auntie Anne many times before and this never happened! The cooks,  obviously don’t know what they are doing and apparently they have been there for a year. I wish I had taken a photo of it. Just be very careful where you eat!! Your health should be your main priority!",1737331226,FALSE,"AUNTIE ANNE'S/CINNABON"
"Ashma Ali","https://www.google.com/maps/contrib/106882957494169722608/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocLGvTveAjp_4sqNuSVGpMLKuRwVlKNyDxpo5D75qsrTOwnvcw=s128-c0x00000000-cc-rp-mo",3.7,"9 months ago","Had a horrible incident on Wednesday night with this short gentlemen that was working, I came in along with two other customers, they were taking there orders but the worker tells me it’s closed when it was 9:45 and still taking other people’s order. I looked at him confused and still waited on the line and then the women in the register ask if I placed my order I said no I’ve been waiting on line and then he repeats it’s “ closed, it’s closed”. I am irritate at this point because I came in the same time as the other two customer whose orders been taken but yet your repeatedly telling me it’s closed as if I don’t understand what your talking about. The women kindly took my order and ignored his unprofessional behavior. I hope this man gets lectured about discrimination and improves in his behavior. If you continue to have rude workers no one will feel comfortable purchasing any item from this establishment.",1720679333,FALSE,"AUNTIE ANNE'S/CINNABON"
"Cheyenne Velez","https://www.google.com/maps/contrib/103475954856036982736/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjUd6WTfAYlVEP5rwW9bEMpWqNojERO3wewGU1A1IWqr9cOVmA8=s128-c0x00000000-cc-rp-mo",3.7,"6 months ago","I think Cinnabon might have a personal vendetta against me. I’ve ordered online TWICE now, and both times it was like they sent me stale bricks instead of their famous cinnamon rolls. Hard as rocks and just about as enjoyable as chewing on cardboard. Don’t even get me started on the churros—they were so stale I thought I was being pranked.

But here’s the kicker: when I actually walk into the store, the Cinnabons and churros are soft, warm, and delicious. So, what gives, Cinnabon? It’s like they’re saving all the good stuff for the in-person customers and sending the stale leftovers to us who order online.",1727726186,FALSE,"AUNTIE ANNE'S/CINNABON"
"MICHAEL LECOINTE","https://www.google.com/maps/contrib/114427311444956591326/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocLReEdAVyNWnuFktgjdAoBmOJuGOT7xoTDTwdk6Gg5ShXstYg=s128-c0x00000000-cc-rp-mo-ba3",4.3,"2 weeks ago","Freshly made bagel, cream cheese, lox, peanut butter, real eggs, bacon absolutely no complaints. I go out of my way in the morning to my breakfast and coffee.

Dunkin donut had no busy opening next door.  Because of that i will never  buy from then anywhere, anymore!!!!",1744034377,FALSE,"BAGELS ON BARTOW"
"Christian Almonte","https://www.google.com/maps/contrib/114959096776882484375/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjV-oLb4Mr34xlfXDEHszINQM8vTJVoPOK3JRbLC3oV8E4GNz7Oa=s128-c0x00000000-cc-rp-mo-ba3",4.3,"a year ago","Came in at about 9:30am-9:40am on a Wednesday place was busy. Decided to order anyway thinking it would be quick since the menu is pretty simple.

The gentleman taking orders at the register was nice and I ordered right away, but he seemed overwhelmed. Most likely because the place is disorganized. I own a restaurant and have worked in high volume delivery and takeout places; I’m telling you now their takeout/delivery and order taking process is all over the place, it’s a mess.

Waited about 15-20 minutes for an egg and cheese on a roll and a bacon, egg and cheese on an everything bagel. Felt like a long wait in my opinion for simple sandwiches. Food Flavor was underwhelming and I paid $11.50 for both sandwiches which is overpriced for Bronx prices honestly and also how bad the food was.

Lastly, the owners are very nice, but that shorter Latina/Hispanic girl that works there is very rude and always has an attitude. She’s there every time I’ve been and she’s never been any different, worst employee in terms of customer service, but she does work hard so I’ll give her that.

You’re better off going to Capri Deli on the other side of the shopping mall. Food’s better and customer service is much nicer.",1695829575,FALSE,"BAGELS ON BARTOW"
"Caroline White","https://www.google.com/maps/contrib/114817131614214492533/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjUTnF9ckQFm2B8z7YeqdgMAsIf3q_FUGeQFUXpkacCBRrdxUrU7_A=s128-c0x00000000-cc-rp-mo-ba4",4.3,"4 months ago","Ordered bagels on ubereats twice and these bagels are legit. Fresh and tasty.",1735167663,FALSE,"BAGELS ON BARTOW"
"felix romero","https://www.google.com/maps/contrib/108356933751434077587/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVy9xrcXdci1NswKJlspArUToOvkyG6hNL8-LYcyVcVAGID515q6Q=s128-c0x00000000-cc-rp-mo-ba4",4.3,"a year ago","I'm disappointed with the food.  This place use to give you nice size French toast with extra bacon. Now they give you two skinny  breads and two slices of bacon. I've been a customer for years. I understand the prices go up but the food should remain the same.  Not more money and less food. Doesn't make sense. The service is still great. Wonderful staff.",1705336429,FALSE,"BAGELS ON BARTOW"
"Tabatha Serrano","https://www.google.com/maps/contrib/101043514331425177141/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjUe6uBoRtI2zGuo4k7Cc1SdlnwwD6aYdIy-pe04b6wllJdMIy4=s128-c0x00000000-cc-rp-mo",4.3,"a year ago","I love these bagels!!!!. I got breakfast and lunch because I had a training class that I couldn’t leave for so we had to bring food. I got the egg and cheese on a plain bagel and then a chicken salad with lettuce tomato and onion on an everything…… soooo good and addicting. Really addicting I’m actually going back tomorrow for another chicken salad.  Will definitely continue to go here.",1712369726,FALSE,"BAGELS ON BARTOW"
"María Estefanía Espinal Morel","https://www.google.com/maps/contrib/118118046304023257663/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocKhnsJPiEQKHMN4nHo2HkY5c71qHdt7B-CsNCl6IKmNVHxQLA=s128-c0x00000000-cc-rp-mo",3.5,"3 weeks ago","Molded Cheesecake Purchase

Date of Incident: March 28–30, 2025

On March 28, 2025, I purchased a cheesecake from this bakery. Upon arriving home, I immediately placed the cheesecake in the refrigerator to maintain its freshness.

On March 29, 2025, I removed the cheesecake from the refrigerator to serve at a birthday gathering. As I began cutting the cake, I noticed blue discoloration inside. Concerned, I flipped the cheesecake over and discovered more blue spots. Upon further inspection, I found that the bottom portion of the cheesecake was fully covered in mold, rendering it inedible.

I immediately attempted to contact the bakery to report the issue, but my calls were not answered. The following day, on March 30, 2025, I was able to reach the bakery and explained the situation. I was informed that refunds were not issued to cards and that I could only receive store credit to make another purchase.

I declined this offer, as I had become aware of similar complaints through the reviews regarding the bakery’s products. Given this ongoing issue, I no longer wish to purchase from this establishment. I requested a different resolution, but I was informed that there was nothing else they could do and that the person responsible for making the cheesecake was unavailable",1743362222,FALSE,"COCO PASTEL BAKERY"
"Kyhara Mercado","https://www.google.com/maps/contrib/105636838066987171603/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocIAbVhKMQF7XGfqHGmtMHo9P36Mp1_A9GEoQitCANTHduPAus0=s128-c0x00000000-cc-rp-mo",3.5,"6 months ago","My sister had ordered a cake from here yesterday for my nephew and this is what she received .. they gave us a cake with a hair on it and claimed that they wear “hair nets” and tried to say in small words that she took a piece of her own hair and stuck it on the cake .. then they didn’t want to refund her the whole $50 that she paid . and told us to just take the piece of hair off .. & on top of that she NEVER asked for a SpongeBob cake for a 6 month old baby ..the SpongeBob looks like it was just placed there with no delicacy or anything . and the handwriting on the cake is just horrible.. they had a bad attitude when I addressed the situation with the cake .. the male that works there was just trying to dismiss me and the lady was trying to tell me that we took our own hair and placed it on the cake .",1727804745,FALSE,"COCO PASTEL BAKERY"
"Edward Valdez","https://www.google.com/maps/contrib/103604596973297995843/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocKiZsdG4J_OCHBFTyGzc55kMhvoGeag-6qYklFszkHWyqnTGg=s128-c0x00000000-cc-rp-mo-ba3",3.5,"a month ago","Overall we couldn't try it. we reserved a cake 2 days in advance as they told us too today was the pick up day.  The only excuse they gave us was the Baker never got the order. Instead of offering us an apology they just said they couldn't do anything or offer a refund. What's the point of having us reserve a cake 2 days prior if they aren't going to comply by it. Waste of time and money since they didn't offer us a refund said they don't do refunds even though it was their issue. Would not recommend would not suggest and frankly needs more work in the way the fix issues.",1741214348,FALSE,"COCO PASTEL BAKERY"
"Ismael Ramirez","https://www.google.com/maps/contrib/116643334976919245271/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVmD3iZ_qPFpxQ_-Bk09_huGsBHqWCK2wzCPnR-CIKZGUQCJ7dFVw=s128-c0x00000000-cc-rp-mo",3.5,"a month ago","Cake that I purchased today by the slice was horrible seem like it was 5 days old ..
I honestly believed in them but food quality has not gotten any better",1741400235,FALSE,"COCO PASTEL BAKERY"
"Nicole Guerrero","https://www.google.com/maps/contrib/107033698548346824497/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjXj4pJ1hksr3kuFmy_7cCqAsNoBElis2g0EyEoSqgkcaK6h5uAzMA=s128-c0x00000000-cc-rp-mo-ba2",3.5,"2 months ago","Terrible customer service. There isn't a manager on site to help you with escalating concerns. I paid $70 for my cake in advance and didn't get what I asked for. It was a rushed job, the cake ending up melting after they claimed they left it in the freezer to harden",1738964015,FALSE,"COCO PASTEL BAKERY"
"Irisleydis Jordan","https://www.google.com/maps/contrib/117629741697994643402/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjUyhYY_Q6KVse-pvIXhkWHDkyVGcFFhezoHBHcbGYgFPp06PQOUDA=s128-c0x00000000-cc-rp-mo",3.7,"3 months ago","I ordered a whole pig for a party of 20. The pig came with rice w/gadules . The most expensive rice I ever paid. Besides it was a small pig. The was not meat at all. the  burned skin was holding the rice. The skinny legs and the small head and that was it. Imposible express how embarrassed was when we open the box at home. If you appreciate your money I do not recommend this place at all. We ended up throwing the mini pig to the trash. I will post pic.",1735457791,FALSE,"LECHONERA EL FOGON"
"wen wen","https://www.google.com/maps/contrib/101234478326324835670/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVS99Q26hilc4NX2o0zNYlLD9gSjSDMyGV5_sTPY3R3yAuIp9YH=s128-c0x00000000-cc-rp-mo-ba6",3.7,"8 months ago","Great food and nice service.",1723073517,FALSE,"LECHONERA EL FOGON"
"Kukuu Gang","https://www.google.com/maps/contrib/114979823633460334020/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjU2n7euJF-QsG4tkgays1_-AuJM6CDFrSBGpkhunQtfnlG8XP6X=s128-c0x00000000-cc-rp-mo",3.7,"a month ago","This is like the worst restaurant u can order, they messed up with your food, never get the order right, don’t pick up the phone, they website don’t work, awful, very awful",1741810623,FALSE,"LECHONERA EL FOGON"
"nitzaly sanchez (thevicissan)","https://www.google.com/maps/contrib/116447601752755782668/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjV8_3rALgmVapXGxTP4R9Mr1LuTQ_2vyR-xgS_pSrU1bbdo4GGAqQ=s128-c0x00000000-cc-rp-mo",3.7,"2 years ago","This location was closed previously and I see why. This is how they feed their customers. This comes after multiple times of them sending the chicken so burnt that it’s rock solid and pretty much inedible. Not only that but they charge the same price for family combos yet run on sending a one liter soda instead of a two liter. If it was up to me I’d close the restaurant down. I wouldn’t feed this to my worst enemy, and if I could give it negative stars I would.",1654735479,FALSE,"LECHONERA EL FOGON"
"Kathy Acosta","https://www.google.com/maps/contrib/104398274123833174946/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocISgqcD6nvOTZc-IcESqgFGMKwyJX7Yj7BpqiQ1sImQ_1Qd5w=s128-c0x00000000-cc-rp-mo-ba2",3.7,"10 months ago","Disgusting restaurant I woke up sick to my stomach I ordered for delivery at this place look what time of meat they serve here I’m very disappointed",1718797339,FALSE,"LECHONERA EL FOGON"
"Heavenly","https://www.google.com/maps/contrib/107567348925983489384/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVZUnuAkAab8GkHVvqK86onhJOKm6Vdaf8pR77swYErdWIDGwTJNg=s128-c0x00000000-cc-rp-mo-ba2",3.8,"4 months ago","Bought here sometime this week and the food was surprisingly amazing. I loved their cornmeal porridge and fry dumpling.",1734176702,FALSE,"RANCH RESTAURANT"
"Jalia M.","https://www.google.com/maps/contrib/114805529713694907727/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVmORixQFjbUZ04KqvYVfN1O1Watsx7hryP9qrOGF0LG_hOJwuK=s128-c0x00000000-cc-rp-mo",3.8,"in the last week","We had to wait long with nobody else in the shop and people walking around in the back as if we weren’t there. When a server finally did come out, she was rude and clearly had an attitude. As expected, the food was soulless and dry. I wouldn’t even come in here to get out of a storm let alone for the food or service ever again.",1745250717,FALSE,"RANCH RESTAURANT"
"Samantha Brodie","https://www.google.com/maps/contrib/108691024470316985579/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjXDEZuNj5ONLsL--n8ihtsaJ9jRBIWKXCtr7cJ_cDbBMPWoVFSiwQ=s128-c0x00000000-cc-rp-mo",3.8,"a year ago","The food is always good, but not always consistent in taste, as it depends on whose cooking that day I would assume. The customer Service has always been great. All I expect is my a reciprocated vibe. They always pass. The atmosphere needs work... it is quiet, but there isn't much for the wondering eye. There used to be music, you know a real island feel as you enter this establishment, but not anymore.",1692489658,FALSE,"RANCH RESTAURANT"
"Renee Jones","https://www.google.com/maps/contrib/117955621155108488709/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjWQmJuvLz3EbjNvT9NOX0R6hGANs91fZz_9kRzTrhBnJtI94uvJ=s128-c0x00000000-cc-rp-mo",3.8,"8 months ago","1st and last visit. Overcooked curry chicken roti with 1 small piece of potato and one small piece of carrot...more would've thickened the sauce. Excessively salty and spicy, however, there was flavor. Server seemed to want to be anywhere else!",1723681256,FALSE,"RANCH RESTAURANT"
"Kenneth Holmes","https://www.google.com/maps/contrib/112869594576478265892/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjXurgsz8U6IUhlJEO-iFN6QtaXl1a6fXbEoUxJn05F-IwjEnzsV9A=s128-c0x00000000-cc-rp-mo",3.8,"4 months ago","Excellent Food and Great Service. The Owner Omar is a Man's Man. Respect.",1734901586,FALSE,"RANCH RESTAURANT"
"R Rodriguez (Bronx Taino)","https://www.google.com/maps/contrib/103537216568865507430/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjWd88rPVofMF0suWJKv4m3gLmU6KgOdWxrC9sIMCeVlPkrZO-pcYQ=s128-c0x00000000-cc-rp-mo-ba5",4,"a month ago","Great Atmosphere....
Great Staff.....
Great Service.....
In the south bronx.......
Yeaaaaah Baby....",1742479091,FALSE,"DUNKIN"
"Raquel Morales","https://www.google.com/maps/contrib/114159813969363855010/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocJT3eoDJzek9BxJdq9_IpAw_46G1jzragpMlMaP7ozgcozCVg=s128-c0x00000000-cc-rp-mo-ba3",4,"6 years ago","When I approached the counter there was no one there to greet me, after about 6 minutes a girl came up to the counter and asked what I wanted without even saying hello. I ordered hash browns and a coffee but ended up getting hockey pucks so hard that i couldnt even bite. The girl had an attitude the whole time, its too bad beacuse I come here for my company with big orders and good business but this will be our last time coming here. Dunkin donuts should make better choice when they select their employees because at the end of the day they are the face of the company!",1529245640,FALSE,"DUNKIN"
