"author_name","author_url","language","original_language","profile_photo_url","rating","relative_time_description","text","time","translated","restaurant"
"Havana","https://www.google.com/maps/contrib/113762091032619295787/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocJc7O5y3UgEJqLhIpboF7bz68EtsTwg5HY8KjKDBBio6kIdTQ=s128-c0x00000000-cc-rp-mo-ba5",4,"a week ago","Do not under rate this place/restaurant.

Must go in and try, food is excellent and well served. Staff are friendly.

Roasted pork/Duck with rice and wonton noodle soup is top.

Only small issue is that there is only one rest room.",1744582671,FALSE,"SUN SAI GAI RESTAURANT"
"Steph R","https://www.google.com/maps/contrib/115893003424189005709/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjU-l8V0kgRtSktChiDRyMf1v1WSyoahYXrUq7mb6E11GN9eP1Yqyw=s128-c0x00000000-cc-rp-mo-ba6",4,"2 months ago","Just know before you go. Hole in the wall. Real deal Chinese food. They barely speak English but the food is so good. Place is tiny and the server was super nice but he essentially changed our orders to ""better"" choices (he wasn't wrong). We wanted the lychee duck, the server changed it to regular half duck. We got pork lo mein. The Lo mein had a hint of tanginess. The pork was delicious moist perfectly seasoned, not salty. The noodles are the real deal not overly oily and not overcooked. The star of the show/meal was the duck! Holy moly the duck was out of this world melt in your mouth not gamey at all. The duck was the real deal so watch for small bone fragments.if you need to go to the bathroom this is not the place. This place was recommended by a local who's been in the area for decades so they know.",1738727376,FALSE,"SUN SAI GAI RESTAURANT"
"Frugal Cyclist","https://www.google.com/maps/contrib/113148947611018822952/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjX5NDw-24s_KVtW0-9yKcF7Jx-PlYPFiNy2ADr_QJaTBxv77P9N=s128-c0x00000000-cc-rp-mo-ba7",4,"5 months ago","A local shop serving simple food for as long as I can remember. We came here specifically for the roast duck. $18 for 1/2 duck

The place is not much to look at and I would have 2nd thoughts about bringing a date here. But the food & noodle soups are good. 👍

Also great value for the price & portion. Just bring your appetite",1731203510,FALSE,"SUN SAI GAI RESTAURANT"
"Katherine Larrequi","https://www.google.com/maps/contrib/113007799085048813925/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjUNrJogBFbMGiwP8mGRAqJO5e3g-CzW1oczRR81ucYXmEwY8mL6zA=s128-c0x00000000-cc-rp-mo-ba6",4,"6 months ago","When you entered, the server was immediately attentive. It gave me an Auntie house can of vibe. Where anyone can find a seat and sit down. Strangers eating together on the same table, which is something new for me.  The server was amazing and friendly she immediatelyprovidedus with hot tea. My friends even tried their Chinese beer. The food was so fresh. Will definitely return.",1728150677,FALSE,"SUN SAI GAI RESTAURANT"
"Thomas Atkinson","https://www.google.com/maps/contrib/111105156330871188821/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjWG_3RHlBEs1JX2wCQ-HUmLxcFTvlWlXe6ZXYCktTdFTeJUYdP0=s128-c0x00000000-cc-rp-mo-ba4",4,"4 months ago","Visiting New York City on one of the coldest days of the year, I stepped into get a reprieve from the cold and enjoy some hot tea and food. I thought the food was very good and worth coming back for in the future.  I will give it another try and hope the food is just as good the second time",1734905940,FALSE,"SUN SAI GAI RESTAURANT"
"W S","https://www.google.com/maps/contrib/114580664061828891832/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjXa3t31w5lOjVujTekB3t7p-GnGPumc-g278y1tfmtWELo1NXO3=s128-c0x00000000-cc-rp-mo-ba4",4.3,"6 months ago","When I saw the seating area, I knew this place was going to have a be a old-school Cantonese bakery that sells traditional Chinese sweets. This is the only bakery that sells put chai ko/bozigao 钵仔糕. I couldn't even find this while I was in Guangzhou, China! They also told me their other flagship store sells white rice cake baitanggao 白糖该. I'm so lucky to have found this place! Prices are reasonable, most under $3. Highly recommend!",1727326739,FALSE,"NICE ONE BAKERY"
"Debisree Ray","https://www.google.com/maps/contrib/118091600224579565692/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVly3UaAqbhde1dh3oiI3HmJuPjNU47WBorjJp1HF6jBbLpWi5u=s128-c0x00000000-cc-rp-mo-ba7",4.3,"a year ago","Inside the china town, NYC- we quickly stopped at this location for some snack. The fried wonton was greasy and nothing good. However, the pork bun was quite good, and damn cheap. It’s a totally hole in the wall shack, so don’t expect any good service. They have many items to try. It was quite packed when we visited and none of them were tourists.",1704612452,FALSE,"NICE ONE BAKERY"
"Madison Durango","https://www.google.com/maps/contrib/115960908988112072402/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocKmGBbwCJknzhhETNaKud9BcrDP1vclP5V89PlcXVQelOrrqg=s128-c0x00000000-cc-rp-mo-ba3",4.3,"2 weeks ago","I always go here for big orders and the staff are always very helpful! If they don't have enough of something, they substitute it with a tasty option. Lots of seating so perfect place to meet friends or family for a coffee or a snack",1743630135,FALSE,"NICE ONE BAKERY"
"A A","https://www.google.com/maps/contrib/114604246995929193189/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVy4cJABiyCTLck3AMncDXzaaJOz5GKvCUv_pFAu8i6lmHS0_LhLg=s128-c0x00000000-cc-rp-mo-ba7",4.3,"11 months ago","I would give 4.5 stars, but I thought the customer service wasn't the best.

We stumbled upon this place after seeing the crowd. They made a fresh batch of sesame balls. Wow!! My first time having a steaming hot fresh one. It was enormous....crunch on the outside, sticky on the inside. The red bean paste inside was amazing as well. This is all I ordered from here...but I do expect to return and try more pastries.",1715796614,FALSE,"NICE ONE BAKERY"
"Yuwei Pan","https://www.google.com/maps/contrib/116906658511570634951/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjWzHXyYf-XaYRg1p3EiA1Klp7nS2CZ0KvbE6CVJw7o-iSgTXZ-7=s128-c0x00000000-cc-rp-mo-ba4",4.3,"2 years ago","Another Chinese bakery in Chinatown checked off the list for me! Their paper cups are so adorable that I didn’t want to throw it away. Nice One bakery, if you are reading this: please make ceramic versions of the cups! I will buy them.",1675273946,FALSE,"NICE ONE BAKERY"
"Emma K","https://www.google.com/maps/contrib/106365532306084357268/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjXednWtTW0iw1gmAEElClqgvd8IIfcgjdM1XabRRfbMPZPTWKk=s128-c0x00000000-cc-rp-mo",4.8,"3 weeks ago","Great coffee, with a lot of options to choose from!! We were a group of four, we all enjoyed different lattes. The team gave a thumbs up for all - Dulce De Leche Latte, Mazapan Latte were definitely the highlight of their specialty lattes we enjoyed! The staff were all lovely and so attentive, they helped us choose the right flavors. If you're in the neighborhood, you should definitely try this place - whether just for a quick coffee break, getting on a zoom call, reading, or for a fun time with friends!",1743032957,FALSE,"787 COFFEE"
"Ravid Efroni","https://www.google.com/maps/contrib/118325390649982183132/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocLS7vyXmoSZJwNplYtZiEaJ9OfR9L1uFQocaV2dhlkQSQKoY9g=s128-c0x00000000-cc-rp-mo-ba5",4.8,"4 months ago","A really nice place to stop for a coffee break in the financial District. It's a chain, so if you like it you can find them in more places in the city.

The have great beans, special ones, which I don't understand much about, but it looks like they know their beans.

I highly recommend coming here and trying out their coffee.
They have good sitting areas, and tables for laptops.",1734098614,FALSE,"787 COFFEE"
"Betty H","https://www.google.com/maps/contrib/118141241917617177401/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjX_e-07t9-IaTzHlzf6euZkT_ZPFDMrn62HnVqp1QDfXJVXJPE-9w=s128-c0x00000000-cc-rp-mo-ba6",4.8,"5 months ago","Located on Pearl St. near Broad St. in the Financial District, lower Manhattan. We stopped here for evening coffee after dinner as it was near our hotel.
We tried their 'Flat White', which tasted super good and a 'Herbal Tea'. The tea was also good but to my surprise, it was sweet. Not what I'm used to when it comes to tea, but it was satisfying, especially during this cold evening. They also have pastries to go with your coffee.
They have a nice and comfortable setup in their lobby. Service was great, very friendly,  welcoming, and nice baristas.
Overall, we had a good experience at this coffee shop and will definitely return while in town.",1731301610,FALSE,"787 COFFEE"
"nilgün güneş","https://www.google.com/maps/contrib/106940401440526582470/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjW10Eb2vTB9X4j6BU5WToUZxQqcesob1x2UtlACFI0PTaolB-zg=s128-c0x00000000-cc-rp-mo-ba2",4.8,"a month ago","This is my second time at this location. Barista Billy is also an artist and creative director. He gave me recommendations about museums and exhibitions in NY. I am grateful to him. The coffee and the atmosphere are already great. I will definitely come again. If you want to get your coffee from a very high quality barista and sip it in a warm environment, I recommend you to stop by here.",1740557897,FALSE,"787 COFFEE"
"Morgan","https://www.google.com/maps/contrib/117222655344306204910/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocKPop6F4tvBPa8okmeniPTZQtGMRODk5hRtfJvp4Rn3n9286vQ=s128-c0x00000000-cc-rp-mo-ba3",4.8,"3 months ago","We had a wonderful experience at 787 Coffee! From the moment we walked in, we were greeted warmly by a friendly staff member who made us feel right at home. She asked where we were from, if we had been there before, and shared some fascinating details about their coffee farm in Puerto Rico. She even invited us to smell three different specialty coffee beans from their farm and explained the unique flavors of each. We ended up going with the “rum” and “whiskey” named coffee beans. (No alcohol in them haha)

We also tried a slice of their banana bread, and it was absolutely delicious—so moist and flavorful! The atmosphere was charming and relaxing, with a cozy vibe that made us want to stay longer. The coffee itself was rich, flavorful, and truly exceptional. We’ll definitely be back for more! Highly recommend!",1737316259,FALSE,"787 COFFEE"
"Shantel Kouakou","https://www.google.com/maps/contrib/113563651939410693082/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjXWPdYnBZirXtSWeSZ0TU2CWQSPhgnCwCteTcfsFNUCwblY1B41=s128-c0x00000000-cc-rp-mo-ba4",4.5,"2 months ago","Food & Drinks: If you can just stick to the appetizers. The mains really lacked in flavor once we finished the appetizers.  The appetizers did not disappoint at all! The drinks were phenomenal, it will give you a buzz and tastes great!

Service: If I could give 0 stars I would. He was inattentive, I had to constantly find him when we needed something. He never checked in on how our meal was going or if we even needed anything.  The buss-boys were seen more frequently and asked us how we were more than our sever, definitely brings the experience value down by a lot.

Ambiance/Vibes: Music was GREAT! The atmosphere is very picturesque for all the content creators out there.

Will I be going back…. Definitely not. Do I recommend it - yes. This is a one time place to eat, I can get better service and food elsewhere for 1/2 the price, but it was fun for a midweek girls night.

Bathrooms were clean which I love.!",1738244580,FALSE,"SEI LESS"
"Jeidy C.","https://www.google.com/maps/contrib/104010016507102633697/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjWX-9jmIM9d93h5JMuFK3f3L-b81ep-5aq_XpWqkp40-SYWtcpo=s128-c0x00000000-cc-rp-mo-ba5",4.5,"3 months ago","10/10 across the board. All I’m going to say is the black pepper steak is TO DIE FOR!!! Is so tender and GOOD! Everything was great. Fresh band flavorful. But the steak was clearly the star of the show in my table. Music was great. Service was wonderful (very attentive) the restaurant seems a bit small but still roomy enough to accommodate big parties. I will 100% be returning here again! Ps. The “drop It like it’s hot” drunk is to die for!",1737405342,FALSE,"SEI LESS"
"Kept Love","https://www.google.com/maps/contrib/107301900874980337314/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocJmN72936q0MzAao5GxM5K50JtEZtMaP7O-E-YvyBKXs_4ANA=s128-c0x00000000-cc-rp-mo-ba4",4.5,"2 weeks ago","Sexy moody vibe. Great food and drinks. Went for bday dinner. Informed host of Birthday, she said she would inform waiter but nothing happened. Would have given 5 stars but the photographer in the place was overwhelming with his approach.",1743860352,FALSE,"SEI LESS"
"Paula Kalnina","https://www.google.com/maps/contrib/113742772424503049845/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjWWVuhBEe8BkfqZFmaId9U6w_jq5h_R_9cagXNYrr-Ea9NnFl0=s128-c0x00000000-cc-rp-mo-ba3",4.5,"5 months ago","Really great food - everything was amazing. BUT I do have to highlight the apple tart from their dessert menu. The vanilla ice cream has cinnamon flavor to it and the tart is so delicious - literally falls apart, so tender, soft and flavorful. MUST TRY if you come here! One of the best desserts we ever tried.",1731635162,FALSE,"SEI LESS"
"Zuleika Primo","https://www.google.com/maps/contrib/113083367810877608880/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocI1-CgBuDNSarl2JJAQFb9fV_plrxlijTSzvaEQm-mJM6vu3hQ=s128-c0x00000000-cc-rp-mo-ba2",4.5,"2 months ago","Sei Less is a good time, it’s so aesthetically pleasing it gives the feeling of a lounge. The food is cool but the appetizers in my opinion are best. The spicy tuna crispy rice is my specialty. The cocktails are smooth and the music is lit. Also everyone is stylish in there, you’d have a good time just sitting at the bar. Lastly, the service is great because they are attentive from start to finish including the restroom attendant.",1738765155,FALSE,"SEI LESS"
"Chin YL","https://www.google.com/maps/contrib/111935904718813291676/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocK-vEgzNvpqyyyLgnTOga4K9k0S3OdWe30QDV3tvwnae0-v4g=s128-c0x00000000-cc-rp-mo-ba5",3.9,"in the last week","We had a good authentic hot Korean meal. First come kim Chi, pickled cabbage & white radish in spicy sauce. Yum. Very fast service as meals were served without much waiting time. Staff are response & friendly. Food tasted good and served hot.",1744846465,FALSE,"GAMMEEOK"
"Mia Huynh","https://www.google.com/maps/contrib/114746114434966868203/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjWE4czd-grUsa03QSphvyCOclM_Ar_KI27-4Jd9NwQtCduvru9p=s128-c0x00000000-cc-rp-mo-ba4",3.9,"2 weeks ago","I came here late one evening after the club with friends and thought the food was really mid. The interior of the restaurant is spacious and there's lots of seating. Service is also okay.

We ordered soups, a seafood pancake, and their galbi. All of their food was really mid. I was heavily disappointed by their seafood pancake, which barely had any seafood in it.",1743703297,FALSE,"GAMMEEOK"
"유대인","https://www.google.com/maps/contrib/107203003161912785943/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjXzxPT2ooBGs2CaUGgeQjT_pn9k71lZe9x5N8AH_StGiS2vxT4=s128-c0x00000000-cc-rp-mo",3.9,"in the last week","The staff member who assisted us in the morning was exceptionally kind and helpful. They made us feel welcome from the moment we arrived. It’s always nice to start the day with such warm service.",1744809850,FALSE,"GAMMEEOK"
"Iun Chen","https://www.google.com/maps/contrib/107883844158273113822/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjXoUJz1kme90BfavYSkhoNgcEAuhjatHxnoE1LRsU0ZTTV6FoVQ=s128-c0x00000000-cc-rp-mo-ba4",3.9,"2 weeks ago","Been here a few times during peak and non-peak times and each time there were very few tables filled. Despite that, service is kinda slow.

Food is okay but pretty overpriced for portion size and what it is. I usually get their signature Gammeeok Seollang Tang. They give you a separate bowl of salt and green onions to season yourself, as the dish itself from the kitchen is only the noodles, meat, and no flavor. I personally don’t love this because I mess this up every time and would prefer they give an initial flavor profile to start. Despite that, I’ve come back!

We’ve gotten their seafood pancake and bibimbaps before too. While they’re good, for the price point the value is not there. Each of their dishes are minimum $20 and even for the broth soups they’re very minimal portions.

For two people and only two mains, a check of over ~$70 with tax/tip doesn’t seem justified. You can find plenty other good eat options in ktown that will give you better bang for your buck. And probably better service too.",1743893805,FALSE,"GAMMEEOK"
"Roy Chan","https://www.google.com/maps/contrib/111514200687617672527/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjUCAYpMyALlcFKAvSOmq1_mPWbMG2qd1MUaBdXsO0FuhWqC64nt1A=s128-c0x00000000-cc-rp-mo-ba6",3.9,"4 months ago","The restaurant was on the second floor so it took a long stair to actually get to the restaurant. The staff was really nice and the store was clean. The food was good - just the portion was small and the soup was a bit blend.",1733969118,FALSE,"GAMMEEOK"
"Louis (ahluu)","https://www.google.com/maps/contrib/106445717288124551685/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVdx03wZVm7c_H9Z77HoOSbPKneoO5Su22uYGPolRn6G_m5tYvS=s128-c0x00000000-cc-rp-mo-ba5",4,"11 months ago","My second time patronizing them in new york city chinatown. The salted chicken rice is damn damn good. Will definitely get them again when im back in newyork. The meicai kou rou is decent and the steamed pork spareribs is exceptional too! The flavour is marinated enough and the meat is soft. Prices for meesum is absolutely fair and please head over if you are around the vicinity. They have been here for a very long time if you look at the furnishings in the store. Highly recommended for e fresh food and old school vibes! :)",1715349367,FALSE,"MEE SUM CAFE"
"Juan Gutierrez","https://www.google.com/maps/contrib/113989847163904010327/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocJI_YUZ54slgqAMo0IBNN_eTe4dVuUHg3luFm7mu3a8uqB08A=s128-c0x00000000-cc-rp-mo-ba7",4,"a year ago","This is old Chinatown! No frills lunch counter, cash only, delicious food. Came here for a Sunday comedy show which was great. During the week this is a regular breakfast and lunch counter where OG neighborhood folk come for authentic, cheap quick bites. They are embracing these special events now too to keep up with rising rents.

The sauteed cauliflower and the salted chicken were so incredibly delicious. The congee was extra tasty. Bao and dumplings were so good too. I need to come back again. Hope Mee Sum stays for a long time",1708348191,FALSE,"MEE SUM CAFE"
"Frank Young","https://www.google.com/maps/contrib/117671743754148796213/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjXmWzH425wtptfXjw0QRb0nrGszJrqQbm_jDjni6QX6TKnSpcUJPg=s128-c0x00000000-cc-rp-mo-ba6",4,"2 years ago","This place all about food as utility. Nothing fanciful. Its basic value for money. Food choices are mostly a mix of basic cantonese diner style staples. The taste isnt bad but its not really anything to recommend either.
Rice dumplings, rice rolls, porridge, pork and shrimp dim sum dishes were slightly below average. The grilled fish was expensive $13 for a 9 inch grilled fish. Taste wise, its fine. Nothing to write home about.

For the curious who wants to experience a typical Hong Kong diner feel, this is probably one of the last places in Chinatown to do it.",1661797688,FALSE,"MEE SUM CAFE"
"EH","https://www.google.com/maps/contrib/107887109853821627734/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjXEcwcUuFH7VnXndohgVBSz81v3jS5j-jh-bUTF7QxVSffxlpou=s128-c0x00000000-cc-rp-mo-ba6",4,"a year ago","Hole in the wall old style plain store but love the 100% authentic traditional “zongyi” sticky rice wrapped in leaf. They sell different varieties very excited they offer the “extra ingredient” one with egg yolk. Very fresh & yummy can’t wait to revisit for more! Please never stop making this.",1703473359,FALSE,"MEE SUM CAFE"
"Cristiano RonaIdo","https://www.google.com/maps/contrib/100124759308213947627/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjXVpcJFw46KwzGpVOlhh9mYMvc3DFK78kss-wrHJgx6HcO15x8=s128-c0x00000000-cc-rp-mo",4,"2 months ago","Absolutely amazing experience here, it was such a fun experience, the employees were so kind, even left me a complimentary rat tail in my miso soup, it tasted so good, Georgina loved this place honestly, the kids enjoyed it, especially when the chef left some ""horse"" hair in my sushi, since it adds that extra flavour,",1738543612,FALSE,"MEE SUM CAFE"
"Ryan Tian","https://www.google.com/maps/contrib/114755904237506367769/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjXBp_Ci9lwhsMti2YABNrN_XQjVuCuUE9E7kJiBKDrajlN7f-E=s128-c0x00000000-cc-rp-mo-ba2",4,"a month ago","Would recommend their fruit teas and milk tea drinks. Ordered numerous times before and drinks were rather good.

Would not recommend getting any warm drinks with coconut milk. Ordered a brown sugar boba milk with coconut milk as replacement and it was not good. I've since been made aware coconut milk may develop a weird taste when heated, so just something to keep in mind.

Service can be quite slow as there are not many people working behind the counter. Environment is nice though.",1741759007,FALSE,"MOGE TEE"
"Karanvir Singh","https://www.google.com/maps/contrib/106250672724458333258/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjUumzuDlxVC0H8RfYKKDSapG8XJEOqTRQ30up9i7YPdH5Nc9Mqc=s128-c0x00000000-cc-rp-mo",4,"2 months ago","I asked for no ice, and on the sticker it says 0% ice, does that mean 20% ice? My brother selected 50% ice and the whole glass was just full of ice not much bubble tea or flavor. If I want to get ice i can go to my fridge.",1740112314,FALSE,"MOGE TEE"
"Leonardo Torres","https://www.google.com/maps/contrib/110068034998075350365/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjU8rUrjl6u0up4OJCx8M6OmsvoTJ9_jS4kmrg2u2zgkwng2Kf0=s128-c0x00000000-cc-rp-mo-ba8",4,"3 years ago","I'm quite impressed with this location. It's near numerous bus and subway lines. Ordering is quite easy and rather straightforward from the kiosk.

The Cheese Foam Mountain Green Tea was reminiscent to bodh-cha (Tibetan buttered tea). The only difference was that it was lighter in body and iced rather than served hot. It's a fine treat to have on a summer day.",1623960600,FALSE,"MOGE TEE"
"Jia Yi Wang","https://www.google.com/maps/contrib/112927535576333011862/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocI5hMbnT0ypg2Zfdf6ui8194WahZuYObVelNNMfVvyrtXbHYRQZ=s128-c0x00000000-cc-rp-mo-ba2",4,"3 weeks ago","Paid $10 for legitimately the worst bubble tea I've ever had in my life. The milk tea was extremely watery and flavorless. The bubbles were unsweetened and soggy. There are plenty of other options nearby.",1743293974,FALSE,"MOGE TEE"
"Ian","https://www.google.com/maps/contrib/113222212640429437670/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjW8oOL08B0vfnS8vLUQZnBuD1U-bpPzrYuRdE_bGbLwQies8VyN=s128-c0x00000000-cc-rp-mo",4,"5 months ago","Probably the worst milk tea I’ve ever had. I asked the guy and he claimed it used “milk-water” some kind of milk substitute and it had no tea",1730488961,FALSE,"MOGE TEE"
