"author_name","author_url","language","original_language","profile_photo_url","rating","relative_time_description","text","time","translated","restaurant"
"Katherine Larrequi","https://www.google.com/maps/contrib/113007799085048813925/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjUNrJogBFbMGiwP8mGRAqJO5e3g-CzW1oczRR81ucYXmEwY8mL6zA=s128-c0x00000000-cc-rp-mo-ba6",4,"6 months ago","When you entered, the server was immediately attentive. It gave me an Auntie house can of vibe. Where anyone can find a seat and sit down. Strangers eating together on the same table, which is something new for me.  The server was amazing and friendly she immediatelyprovidedus with hot tea. My friends even tried their Chinese beer. The food was so fresh. Will definitely return.",1728150677,FALSE,"SUN SAI GAI RESTAURANT"
"Thomas Atkinson","https://www.google.com/maps/contrib/111105156330871188821/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjWG_3RHlBEs1JX2wCQ-HUmLxcFTvlWlXe6ZXYCktTdFTeJUYdP0=s128-c0x00000000-cc-rp-mo-ba4",4,"4 months ago","Visiting New York City on one of the coldest days of the year, I stepped into get a reprieve from the cold and enjoy some hot tea and food. I thought the food was very good and worth coming back for in the future.  I will give it another try and hope the food is just as good the second time",1734905940,FALSE,"SUN SAI GAI RESTAURANT"
"Joey H. Schulz","https://www.google.com/maps/contrib/117900795652964452705/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjXKkcRA87LQ2eQdMfXND1xOaHma4hSrGa1cvUyAUK3wSEEMYfXgPw=s128-c0x00000000-cc-rp-mo",4.9,"in the last week","Absolutely amazing coffee! Isa, the barista, was not only friendly but also incredibly skilled — you can tell they take real pride in their craft. Smooth, rich flavor and perfect balance. Definitely coming back for más",1745250403,FALSE,"787 COFFEE"
"Tracy McGuire","https://www.google.com/maps/contrib/112403151495237780391/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjV_sV0OPYxon8QO2b9_TODZAw2Dvk7m6gQKNdqQPluJogy-f2uH=s128-c0x00000000-cc-rp-mo",4.9,"in the last week","Awesome coffee spot! If you're staying at The Paramount, definitely get your coffee here instead of the café in the hotel lobby. Great service, great coffee. I recommend the Horchata latte and the Dulce de Leche latte!",1745156751,FALSE,"787 COFFEE"
"Tong Chen","https://www.google.com/maps/contrib/104285841172070965430/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjW9RHK1-WOzd7j8Z-8cs5n32m0FikQ3Nki0KUA27_LorYWO-wmh=s128-c0x00000000-cc-rp-mo",4.9,"2 months ago","Absolutely amazing coffee! I ordered the Dulce de Leche, and it was so good that I finished it in almost a minute. The flavor was rich and perfectly balanced—definitely one of the best I’ve had. Plus, the location is super convenient, right next to Times Square. If you’re in New York, this is a must-try coffee spot!",1740431369,FALSE,"787 COFFEE"
"Alliah Reyes","https://www.google.com/maps/contrib/105004599248759585693/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVVXBeFjQGV-k-9iVQm1bkOcbS-eCwzsdgRwhK2o731sfCE-nXy=s128-c0x00000000-cc-rp-mo",4.9,"in the last week","Su & Km is such a cozy cafe! The drinks are delicious—I even asked for extra milk and they kindly added it without charging me. Great service and warm atmosphere. Highly recommend!",1745177101,FALSE,"787 COFFEE"
"Adam Shrum","https://www.google.com/maps/contrib/103257077838071008640/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjWxJxxO_P9k2MvBhTkr6xSxDfwVqcpoh_Fbf11LzUH-igzfd9cJ7w=s128-c0x00000000-cc-rp-mo-ba3",4.9,"3 weeks ago","Some of the best coffee I've ever had. Trie the Coquita and Dulce De Leche. Both were great, but Dulce was amazing! Really great banana bread too. Definitely try it.",1743696876,FALSE,"787 COFFEE"
"Debisree Ray","https://www.google.com/maps/contrib/118091600224579565692/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVly3UaAqbhde1dh3oiI3HmJuPjNU47WBorjJp1HF6jBbLpWi5u=s128-c0x00000000-cc-rp-mo-ba7",4.3,"a year ago","Inside the china town, NYC- we quickly stopped at this location for some snack. The fried wonton was greasy and nothing good. However, the pork bun was quite good, and damn cheap. It’s a totally hole in the wall shack, so don’t expect any good service. They have many items to try. It was quite packed when we visited and none of them were tourists.",1704612452,FALSE,"NICE ONE BAKERY"
"W S","https://www.google.com/maps/contrib/114580664061828891832/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjXa3t31w5lOjVujTekB3t7p-GnGPumc-g278y1tfmtWELo1NXO3=s128-c0x00000000-cc-rp-mo-ba4",4.3,"7 months ago","When I saw the seating area, I knew this place was going to have a be a old-school Cantonese bakery that sells traditional Chinese sweets. This is the only bakery that sells put chai ko/bozigao 钵仔糕. I couldn't even find this while I was in Guangzhou, China! They also told me their other flagship store sells white rice cake baitanggao 白糖该. I'm so lucky to have found this place! Prices are reasonable, most under $3. Highly recommend!",1727326739,FALSE,"NICE ONE BAKERY"
"Madison Durango","https://www.google.com/maps/contrib/115960908988112072402/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocKmGBbwCJknzhhETNaKud9BcrDP1vclP5V89PlcXVQelOrrqg=s128-c0x00000000-cc-rp-mo-ba3",4.3,"3 weeks ago","I always go here for big orders and the staff are always very helpful! If they don't have enough of something, they substitute it with a tasty option. Lots of seating so perfect place to meet friends or family for a coffee or a snack",1743630135,FALSE,"NICE ONE BAKERY"
"A A","https://www.google.com/maps/contrib/114604246995929193189/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVy4cJABiyCTLck3AMncDXzaaJOz5GKvCUv_pFAu8i6lmHS0_LhLg=s128-c0x00000000-cc-rp-mo-ba7",4.3,"11 months ago","I would give 4.5 stars, but I thought the customer service wasn't the best.

We stumbled upon this place after seeing the crowd. They made a fresh batch of sesame balls. Wow!! My first time having a steaming hot fresh one. It was enormous....crunch on the outside, sticky on the inside. The red bean paste inside was amazing as well. This is all I ordered from here...but I do expect to return and try more pastries.",1715796614,FALSE,"NICE ONE BAKERY"
"Yuwei Pan","https://www.google.com/maps/contrib/116906658511570634951/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjWzHXyYf-XaYRg1p3EiA1Klp7nS2CZ0KvbE6CVJw7o-iSgTXZ-7=s128-c0x00000000-cc-rp-mo-ba4",4.3,"2 years ago","Another Chinese bakery in Chinatown checked off the list for me! Their paper cups are so adorable that I didn’t want to throw it away. Nice One bakery, if you are reading this: please make ceramic versions of the cups! I will buy them.",1675273946,FALSE,"NICE ONE BAKERY"
"Karen Y","https://www.google.com/maps/contrib/113947553126795967215/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVeVBnScH4wOF7gXfho1VektNa6XhU0eSTHAzk6GGl14PZCu6gI=s128-c0x00000000-cc-rp-mo-ba4",3.7,"a year ago","Food is great, customer service is excellent. They made a mistake of putting scallions in my soup when I ordered it without them. Not only did they remade the soup but they also comped it. Very unexpected as typically restaurants would just remake the dish and I’m perfectly happy.",1710355367,FALSE,"GAMMEEOK"
"Benjamin L","https://www.google.com/maps/contrib/108539341149811708508/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjUhog2RL7H-EDU8dQRClPI0JGfNg2LwVfz8RNCqxNfZi27JkF4=s128-c0x00000000-cc-rp-mo-ba5",3.7,"11 months ago","For good Korean ox bone soup in Jersey, this spot is great. Very casual but lots of ppl coming in and out, feels like staff can be overwhelmed. Open 24hrs which is great.

A must get is the egg dish with roe on top and the mung bean pancake both were delicious. And the ox bone soup deluxe version with extra meat was a good choice. Kimchi was also not too sour and went pleasantly with all the other items.

Clean bathroom, friendly staff!",1715007900,FALSE,"GAMMEEOK"
"David Han","https://www.google.com/maps/contrib/112655221045374033793/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjXaVcxi59az-xlCoW3AzTVehO35bOUW_r3v0TSzPqrZxuu0xerFXg=s128-c0x00000000-cc-rp-mo-ba4",3.7,"a year ago","It's been a long time since I heard it late with my friends, and I ate a new menu called beef bone kalguksu, and it was surprisingly delicious. It was so good that the umami taste and the refined taste harmonized harmoniously. It is highly recommended that you can taste this kind of taste at a Korean restaurant in the United States.",1701917053,FALSE,"GAMMEEOK"
"David Lee","https://www.google.com/maps/contrib/101643965315239140346/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjXavxBYtQAeKV_TRdC2WchOYp45VM7Mv34n_RpX9fq9cqrpHVwE=s128-c0x00000000-cc-rp-mo",3.7,"a year ago","Overall, the food isn’t bad. However, the change in the serving size is absolutely disappointing. I’ve came to this restaurant four times this year and ordered the same dish every single time. The last time I came was August and since then the serving size decreased by half. It is noticeable at first sight. Barely noticeable amounts of cheese and meat when that was one of the important parts of the dish. When I asked the worker, all he said was that I possibly got more than normal serving size in the past. How is that possible when I came here multiple times and it was the same size until now? I have visual aid for people to see by the way (the right is the reduced size). Anyways, this all wouldn’t be a problem if they decreased the price but the price still stands strong.",1703719927,FALSE,"GAMMEEOK"
"ChuYun Pae","https://www.google.com/maps/contrib/104837970523789880507/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjWTTEKMKI0ndXnxdz4Jl5eOZoxx1Foosd2qTfuan3FQxUTaTbl3fQ=s128-c0x00000000-cc-rp-mo",3.7,"2 months ago","I placed an order through uber. Afterwards, I wanted to add an extra dish so I called the restaurant. Upon speaking with the server who answer the call, this was not possible. Really?! They had no problem doing this before. So I cancelled the extra dish and this server cancelled the entire order. When I called back and asked the reason she said she understood it to be cancelling the entire order and blamed me of not speaking to her clearly. Serious?! This clearly is an example of incompetent and lazy individual who obviously doesn’t know a thing about what descent customer service is. I had been going to this restaurant for years and had no issues in the past.",1740181960,FALSE,"GAMMEEOK"
"Louis (ahluu)","https://www.google.com/maps/contrib/106445717288124551685/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVdx03wZVm7c_H9Z77HoOSbPKneoO5Su22uYGPolRn6G_m5tYvS=s128-c0x00000000-cc-rp-mo-ba5",4,"11 months ago","My second time patronizing them in new york city chinatown. The salted chicken rice is damn damn good. Will definitely get them again when im back in newyork. The meicai kou rou is decent and the steamed pork spareribs is exceptional too! The flavour is marinated enough and the meat is soft. Prices for meesum is absolutely fair and please head over if you are around the vicinity. They have been here for a very long time if you look at the furnishings in the store. Highly recommended for e fresh food and old school vibes! :)",1715349367,FALSE,"MEE SUM CAFE"
"Juan Gutierrez","https://www.google.com/maps/contrib/113989847163904010327/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocJI_YUZ54slgqAMo0IBNN_eTe4dVuUHg3luFm7mu3a8uqB08A=s128-c0x00000000-cc-rp-mo-ba7",4,"a year ago","This is old Chinatown! No frills lunch counter, cash only, delicious food. Came here for a Sunday comedy show which was great. During the week this is a regular breakfast and lunch counter where OG neighborhood folk come for authentic, cheap quick bites. They are embracing these special events now too to keep up with rising rents.

The sauteed cauliflower and the salted chicken were so incredibly delicious. The congee was extra tasty. Bao and dumplings were so good too. I need to come back again. Hope Mee Sum stays for a long time",1708348191,FALSE,"MEE SUM CAFE"
"Frank Young","https://www.google.com/maps/contrib/117671743754148796213/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjXmWzH425wtptfXjw0QRb0nrGszJrqQbm_jDjni6QX6TKnSpcUJPg=s128-c0x00000000-cc-rp-mo-ba6",4,"2 years ago","This place all about food as utility. Nothing fanciful. Its basic value for money. Food choices are mostly a mix of basic cantonese diner style staples. The taste isnt bad but its not really anything to recommend either.
Rice dumplings, rice rolls, porridge, pork and shrimp dim sum dishes were slightly below average. The grilled fish was expensive $13 for a 9 inch grilled fish. Taste wise, its fine. Nothing to write home about.

For the curious who wants to experience a typical Hong Kong diner feel, this is probably one of the last places in Chinatown to do it.",1661797688,FALSE,"MEE SUM CAFE"
"EH","https://www.google.com/maps/contrib/107887109853821627734/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjXEcwcUuFH7VnXndohgVBSz81v3jS5j-jh-bUTF7QxVSffxlpou=s128-c0x00000000-cc-rp-mo-ba6",4,"a year ago","Hole in the wall old style plain store but love the 100% authentic traditional “zongyi” sticky rice wrapped in leaf. They sell different varieties very excited they offer the “extra ingredient” one with egg yolk. Very fresh & yummy can’t wait to revisit for more! Please never stop making this.",1703473359,FALSE,"MEE SUM CAFE"
"Cristiano RonaIdo","https://www.google.com/maps/contrib/100124759308213947627/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjXVpcJFw46KwzGpVOlhh9mYMvc3DFK78kss-wrHJgx6HcO15x8=s128-c0x00000000-cc-rp-mo",4,"2 months ago","Absolutely amazing experience here, it was such a fun experience, the employees were so kind, even left me a complimentary rat tail in my miso soup, it tasted so good, Georgina loved this place honestly, the kids enjoyed it, especially when the chef left some ""horse"" hair in my sushi, since it adds that extra flavour,",1738543612,FALSE,"MEE SUM CAFE"
"Shantel Kouakou","https://www.google.com/maps/contrib/113563651939410693082/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjXWPdYnBZirXtSWeSZ0TU2CWQSPhgnCwCteTcfsFNUCwblY1B41=s128-c0x00000000-cc-rp-mo-ba4",4.5,"2 months ago","Food & Drinks: If you can just stick to the appetizers. The mains really lacked in flavor once we finished the appetizers.  The appetizers did not disappoint at all! The drinks were phenomenal, it will give you a buzz and tastes great!

Service: If I could give 0 stars I would. He was inattentive, I had to constantly find him when we needed something. He never checked in on how our meal was going or if we even needed anything.  The buss-boys were seen more frequently and asked us how we were more than our sever, definitely brings the experience value down by a lot.

Ambiance/Vibes: Music was GREAT! The atmosphere is very picturesque for all the content creators out there.

Will I be going back…. Definitely not. Do I recommend it - yes. This is a one time place to eat, I can get better service and food elsewhere for 1/2 the price, but it was fun for a midweek girls night.

Bathrooms were clean which I love.!",1738244580,FALSE,"SEI LESS"
"Jeidy C.","https://www.google.com/maps/contrib/104010016507102633697/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjWX-9jmIM9d93h5JMuFK3f3L-b81ep-5aq_XpWqkp40-SYWtcpo=s128-c0x00000000-cc-rp-mo-ba5",4.5,"3 months ago","10/10 across the board. All I’m going to say is the black pepper steak is TO DIE FOR!!! Is so tender and GOOD! Everything was great. Fresh band flavorful. But the steak was clearly the star of the show in my table. Music was great. Service was wonderful (very attentive) the restaurant seems a bit small but still roomy enough to accommodate big parties. I will 100% be returning here again! Ps. The “drop It like it’s hot” drunk is to die for!",1737405342,FALSE,"SEI LESS"
"Eunece Carter","https://www.google.com/maps/contrib/105220961022123912310/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocIPqpbMdlOoG0-UK0cvDFhOh2_WwMwLRWpSjwSFlwVb6Ow8hQ=s128-c0x00000000-cc-rp-mo",4.5,"in the last week","After spending my 20s living in New York — where spots like Philippe and Mr. Chow were weekly go-tos — I wasn’t sure if I’d ever find another Asian restaurant that felt as sleek, elevated, and reliable. But Sei Less delivered.

Tucked into Midtown, this modern Asian fusion spot is a gem. The energy is upscale but not pretentious — just the kind of place that feels like a real night out without trying too hard. We arrived as a group of four around 5pm on a Wednesday, fresh from a long day of wedding dress shopping. The hostess greeted us warmly and seated us right away, and the timing was perfect — right before the dinner rush, while the kitchen was just warming up. The space was already glowing, but still quiet enough to take a breath and enjoy it.

Our server was incredibly helpful and easygoing. He offered suggestions from both the food and cocktail menus — and we gladly took his lead. We ordered the spicy tuna crispy rice, Shanghai spare ribs, salt and pepper shrimp, filet mignon with broccoli, chicken lo mein, Alaskan king crab fried rice, and bok choy with garlic.

Each dish arrived beautifully presented, and almost everything we tried was outstanding. The crispy rice had the perfect crunch — warm, fresh, and topped with just the right amount of spicy tuna. The filet was a standout: incredibly tender, well-seasoned, and honestly just melted in your mouth. I wasn’t expecting to love the lo mein as much as I did, but it was delicious — the kind of comfort dish that feels elevated and thoughtful. The bok choy was bright, garlicky, and perfectly cooked — no bitterness, no sogginess, just clean flavor. The spare ribs had great depth, and the shrimp had that classic salt-and-pepper crisp without being overly heavy.

If I had to pick a least favorite, it would be the fried rice. It wasn’t bad by any means, just not as flavorful or memorable as the rest. That said, everything else more than made up for it.

The vibe throughout dinner was relaxed but polished — a great mix of modern and moody. It felt like a place where you could celebrate something special or just enjoy a really good meal with friends who appreciate good taste.

The bartender and service staff deserve special mention — kind, attentive, and confident without hovering. We never felt rushed, and it was clear that hospitality is part of the culture here.

Whether you're a former NYC regular looking for something new or just in town for a night and want something stylish but grounded — Sei Less is absolutely worth a visit. It’s a restaurant that understands both flavor and feeling.",1745151274,FALSE,"SEI LESS"
"Zuleika Primo","https://www.google.com/maps/contrib/113083367810877608880/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocI1-CgBuDNSarl2JJAQFb9fV_plrxlijTSzvaEQm-mJM6vu3hQ=s128-c0x00000000-cc-rp-mo-ba2",4.5,"2 months ago","Sei Less is a good time, it’s so aesthetically pleasing it gives the feeling of a lounge. The food is cool but the appetizers in my opinion are best. The spicy tuna crispy rice is my specialty. The cocktails are smooth and the music is lit. Also everyone is stylish in there, you’d have a good time just sitting at the bar. Lastly, the service is great because they are attentive from start to finish including the restroom attendant.",1738765155,FALSE,"SEI LESS"
"Tamera G.","https://www.google.com/maps/contrib/111009934368168357900/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVKyHBj2fW-CozCRzTob2c86nVwtl5lPax5Xe57PDeQdA9UW6W1=s128-c0x00000000-cc-rp-mo-ba4",4.5,"3 months ago","Sei less was a great experience. Service was 10/10. Appetizers were so good! We had the crispy tuna, duck spring rolls, chicken dumplings, ribs and baos. All of them are worth ordering. The entrees was good but I do wish there was a bit more flavor in some of the entrees like the salmon but good nevertheless. Drinks were also 10/10. Get the peach Saketini and the lychee martini. Highly recommend!",1735704305,FALSE,"SEI LESS"
"Mike E","https://www.google.com/maps/contrib/101518951942885330458/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocJjc_AFepgEasCUhMoKZkPQmdwb9QE5PC4HoCxNQQ0IIGmTlQ=s128-c0x00000000-cc-rp-mo-ba4",4.3,"4 months ago","Delicious hole in the wall Thai food restaurant & takeout. No frills, just genuine authentic Thai food with quick service served with a smile. Highly recommended in lower Manhattan!",1733874637,FALSE,"APPETHAIZE"
"Nicole Kim","https://www.google.com/maps/contrib/118129559408373781633/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVZQ5Yo4hAmaHriQARrQsXV_iajY6m1FuLFfCO7w2_hwyozvaz7tg=s128-c0x00000000-cc-rp-mo-ba6",4.3,"2 months ago","Ordered delivery via Grubhub and got the vegetable pad see ew and crab rangoon. Delivery was prompt and delivered within the estimated time. The crab rangoon was smaller than I expected (bite sized compared to the usual size) but there were 6 pieces. The vegetable pad see ew was favorable and tasty. I liked how it wasn’t that salty compared to pad see ew I’ve had at other restaurants. Couldn’t finish the pad see ew but ate all of the crab rangoon. Would love to try the other dishes here.",1738115083,FALSE,"APPETHAIZE"
"Heroic Pyromancer","https://www.google.com/maps/contrib/111251350597415506013/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjXU2XkCH1eC3p6UAXsp1LVw3EU0lOkT4DFbjKnUPMm54bHYp-wI=s128-c0x00000000-cc-rp-mo-ba2",4.3,"a year ago","Got the Pineapple chicken curry and Pad Thai Tom Yum. The curry was perfectly spiced at level 3 spicy and the Pad Thai Tom Yum was so nicely sweet. Would come again to get the same thing. Food came out quickly. Great for price, taste, and amount.",1708477804,FALSE,"APPETHAIZE"
"LIM","https://www.google.com/maps/contrib/114563429907895401870/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVXBX2IfhIS_GwlnQQq7eHLpo7geSjKCKGXP3tPZVlvpKqD-HBm=s128-c0x00000000-cc-rp-mo-ba4",4.3,"2 years ago","This place is great. That's the Thailand restaurant nearby. I like their Tom yum series. Personally, I really prefer Tom yum. However, I don't like the lemon Thai tea. It taste weird to me. Maybe others might like that taste.",1653225028,FALSE,"APPETHAIZE"
"Mahad","https://www.google.com/maps/contrib/102464103484669569136/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjWsZ7wxdEZqYHW-RRFeGBjSoujmorrQAwDFMIbd3uUeJyr1_6YS=s128-c0x00000000-cc-rp-mo",4.3,"3 months ago","Best Thai food I have had in a while. Service was phenomenal as well. Atmosphere was perfect other than the fact that it was slightly warm in the restaurant and seating was limited. Very very reasonable pricing as well.",1735761092,FALSE,"APPETHAIZE"
