"author_name","author_url","language","original_language","profile_photo_url","rating","relative_time_description","text","time","translated","restaurant"
"P. Sosa","https://www.google.com/maps/contrib/116402262077105050092/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVGv17STV3J59_3P4RtwL0A6wrbWzRq4Hpktjux5VlEMmpMFX0=s128-c0x00000000-cc-rp-mo-ba4",4.2,"2 years ago","Handmade heaven!!! 🤩🤩🤩 Quesadilla de bistec with the works ( lettuce, sour cream, avocado)  is THE way to go! Introverts beware, though; you may need to be assertive and speak up to order, don't expect a ""may I help you."" Don't worry, you could wash your anxiety down with a variety selection of Mexican beers while you wait,  definitely worth it. 👌👌👌",1675201361,FALSE,"PANADERIA LA MIXTECA POBLANA & DELI"
"Andrei Orlov","https://www.google.com/maps/contrib/114259033610924596039/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocKh1oSPGIPUn4x_spL2L2kok8MeKJu2axbtWfbn7jBEv-WzNoYI=s128-c0x00000000-cc-rp-mo",4.2,"a year ago","Delicious authentic food in a very friendly environment. Highly recommend to all Mexican food lovers.",1702587061,FALSE,"PANADERIA LA MIXTECA POBLANA & DELI"
"A PG","https://www.google.com/maps/contrib/102568563590757992496/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjV4AHK9Rpk2jRHSjuPPkMQOD9AewK7bkzva0w-IDATCfsUiL3JS=s128-c0x00000000-cc-rp-mo-ba4",4.2,"3 years ago","Quiet evening to visit (holiday). Came here with friend to try huitlacoche tacos. Love the decor. Enjoyed all the Mexican themed tables, chairs and artwork. Yummy food!",1631836913,FALSE,"PANADERIA LA MIXTECA POBLANA & DELI"
"Jarim Farciert","https://www.google.com/maps/contrib/118366972284895636517/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjXCicBiFs65ktUcnUfa3e4KC7iN9tQM-1yA5gnuwpoge3RemwDk=s128-c0x00000000-cc-rp-mo",4.2,"2 years ago","I’ve been coming here for years and I’ve never ordered anything I didn’t like. Every person I’ve ever brought here has returned with or without me, sometimes even the next day! There may be a bit of a wait but it’s ALWAYS worth it. I highly recommend the Birria tacos and the quesadillas de cecina",1680219208,FALSE,"PANADERIA LA MIXTECA POBLANA & DELI"
"Tate Burke","https://www.google.com/maps/contrib/102790425122646534335/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocIOEU_H0ASJHyg6UAQXJTyZ4htUpF5t3Vuocrq1Kbv5ShgQ8A=s128-c0x00000000-cc-rp-mo",4.2,"6 months ago","Do not order from GrubHub this place is a phantom kitchen or some sort of scam they accepted my order and then cancel it an hour later. You can't call them and their mailbox is full. Bs.",1729604773,FALSE,"PANADERIA LA MIXTECA POBLANA & DELI"
"Gresa Mustafa","https://www.google.com/maps/contrib/110247613323501488707/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjW3rNtQNqYMJa95GNaVFYQAuqwQMgjwGpnbwDqbKGfti13njPA=s128-c0x00000000-cc-rp-mo-ba4",4.1,"2 years ago","Shocked to see the other reviews when I stopped by to leave this one. Our encounter at heartland bagels was quick, staff took our order right away, I asked for an extra toasted bagel, she even asked me if the bagel looked toasted okay before putting on the cream cheese. We were in and out, staff was fine with us. The cashiers were younger girls, maybe teens, but their attitude was unproblematic. We really enjoyed our bagels on our morning walk. We’d come back. 5/5",1667247756,FALSE,"HEARTLAND BAGELS"
"Robert Hamill (Robbie)","https://www.google.com/maps/contrib/104896043991089127041/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocJF__79kUaxSq-C4HM-lLd4Hlyws0xCkfcWqDPYKL2cpcWiXtDm=s128-c0x00000000-cc-rp-mo",4.1,"a year ago","I remember a Heartland bagels from 25-30 years ago. They had the best bagels in Staten Island and in New York City. The past year and a half the bagels unfortunately are not what they used to be for example an everything bagel has very little seasoning on it and the size of the bagel are tiny compared to what they used to be. I and I’m sure like others don’t mind paying more just don’t mess with the original recipe. And when you order egg over medium and you constantly get oh well done egg on a so called Everything bagel, I just feel cheated and I thought I would never say this but I don’t think I’m going to be ordering there anymore.  Below are a few pictures of what I’m talking about, anyone that knows heartland bagels knows these are not everything bagels. And you can clearly see the egg is well done. Very disappointed! Went from the best to just OK sadly! Just my opinion and again, I wouldn’t mind paying if I was getting heartland bagels!! The staff is very friendly and very I don’t believe any of my comments reflected the staff but they’re excellent no problem with them. I’m basing my review on the food quality not the staff staff has five stars. I don’t want anyone ripping me apart here. Lol. If this happened once or twice with the food even bother writing the review, but this is happened is 20 or more occasions and now I just feel I have to say something.",1691344710,FALSE,"HEARTLAND BAGELS"
"Nate K.","https://www.google.com/maps/contrib/107240659318019953042/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVwya1nSQvKaaBy8_VhU4DL2fq8XxJNSUv5ltHrN-TYTMw2jl0=s128-c0x00000000-cc-rp-mo",4.1,"2 years ago","I found many pieces of hair in my bagel. I don't normally write reviews, but this one I had to write. Please see pictures.

I bought a dozen to take home and when I took one out to eat, I saw all these pieces of what appeared to be freshly cut hair baked into my bagel.

Honestly, I have been going to Heartland Bagels for a long time and I don't think I will be going anymore. I am pretty shook by all this because I'm worried I might have eaten a little bit of the hair. Sigh...i don't know what else to say.",1653280783,FALSE,"HEARTLAND BAGELS"
"Glenda","https://www.google.com/maps/contrib/110613757626150876839/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjWp4ykg-D5TPO5mcnCBNK4EVhT83c98jv0YUA3KQLCp1L8cbLIq=s128-c0x00000000-cc-rp-mo-ba2",4.1,"2 months ago","Horrible paid $7 for egg and cheese on a bagel. Wasn't worth the trip nor the money. Should of just went to Dunkin. The bagel isn't worth mentioning. Very nice workers.",1739551859,FALSE,"HEARTLAND BAGELS"
"Nicole Cali","https://www.google.com/maps/contrib/117776550110104382575/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocIeIu7uTrr6BRSB_0iIYGQ4bnjj-szxakBWTXy_laZmz6Is=s128-c0x00000000-cc-rp-mo-ba2",4.1,"2 months ago","Bagels are hard as a rock and the lady gave me the wrong order aswell. Throwing them ALL out . If I threw the bagel at someone’s head it’d be considered assault that’s how hard they are .",1740038102,FALSE,"HEARTLAND BAGELS"
"Sir Gneiss","https://www.google.com/maps/contrib/102896921036790523054/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocLpFkpcTl0Yssea9fmF7EIfo4l20CiFPa6oeP5FCflKRLs9WA=s128-c0x00000000-cc-rp-mo-ba4",3.2,"2 weeks ago","Good first impression as the pizza was ready for pick up when I got there.  As I was walking out the door I decided to check and make sure they put on the right topping.  I didn't see any so I headed back to the counter.  Told them my observation and was told that the bacon was there but they use very small pieces. Lol and behold I did manage to see 2 or 3 small pieces on the entire pie. Long story short they weren't going to make things right and my doctor told me I needed to avoid situations that elevate my blood pressure.  It didn't help that the market was doing so poorly. I did manage to get 25 percent of my online order so that covered for the loss of the bacon and the pizza was halfway decent (I'm being generous).  I've attached a picture so can judge for yourself whether or not this should be described as a bacon topped pizza.",1743809252,FALSE,"PAPA JOHNS PIZZA"
"Natalie Unkle","https://www.google.com/maps/contrib/113305385411844286588/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjUSA7wiNKViBsMEojJr3xsjXBJ-HX4NAKN5VmivVgAFci2cArLE=s128-c0x00000000-cc-rp-mo",3.2,"2 months ago","Gave me a raw pizza. Called trying to get a refund and the man had a bad attitude saying “I don’t know that it’s raw and I don’t believe you because I made it”. Demanded I drive back for a refund. Mind you it’s freezing and I don’t think they’re gonna compensate me for the gas. So no. What I’m stretching in the picture is raw dough, not cheese. The pizza has one of the worst gum lines (raw on top, cooked on the bottom) I have ever seen. Not interested in getting food poisoning so I will no longer be ordering from this establishment. I suggest you do the same.",1739851837,FALSE,"PAPA JOHNS PIZZA"
"Saem","https://www.google.com/maps/contrib/116273860486758926606/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocKhgzCWsQY5HH1C4W5O5ZroUnH4Gwj8pOG-2LWzQIbulkodpQ=s128-c0x00000000-cc-rp-mo",3.2,"a month ago","Not only they gave me a shitty heart pizza it was burnt and the worker said its supposed to be like that because it was a heart shape. If thats how it was supposed to be then put burnt heart pizza on the menu. Also the delivery driver dropped my buffalo wings. I opened the door and he was trying to collect the wings back in the box, I feel like if i didnt come on time he would d have just gave me the wings and not say nothing about it. I called back. They told me they will give me the refund. They never did and they started avoiding me. I love pappa johns but this location is horrible all the workers here are lazy and dont wanna work there go look for another job somewhere else.",1741241462,FALSE,"PAPA JOHNS PIZZA"
"John Ilardi","https://www.google.com/maps/contrib/101962057877798686248/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVKKaetSqmfbHN7jUG8JyJjwSLkj_n-tAoa1mOYz1sZsG5FWbV0=s128-c0x00000000-cc-rp-mo",3.2,"6 months ago","I usually enjoy a good papa John’s session but sadly they got my entire order wrong. I ordered light cheese and seemingly received extra cheese, l ordered unsauced boneless wings and received boneless wings smothered in bbq sauce",1727566373,FALSE,"PAPA JOHNS PIZZA"
"brendan kane","https://www.google.com/maps/contrib/113591778102443980687/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjW9glTsnzFdYFZso806muSx-OHlFBEVQK-89rEY3jf2XNdgoShYKw=s128-c0x00000000-cc-rp-mo-ba6",3.2,"a year ago","Better ingredients, better pizza. That's the chain's slogan. My only guess is that they are still waiting for those better ingredients to arrive. One look at this pie, and you can tell they are not using high-quality ingredients. Just look at that cheese ! It's not good and it's not even dirt cheap. Even the bread sticks are flavorless. Can't recommend this pizza. I give it a 4.1.",1712684185,FALSE,"PAPA JOHNS PIZZA"
"Shirley M","https://www.google.com/maps/contrib/114315324207736409545/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjUPVXzRmAhCEwC8x-I-jIt_p3NsLIhvQuzsZ5TrW3-Khq8TTBpiTA=s128-c0x00000000-cc-rp-mo-ba5",4.4,"3 months ago","Anytime I'm in Staten Island this spot is a must! Service is great and so is the food, this place is a whole vibe ! The cucumber spicy margarita is my favorite and anything I've eaten here has been delicious , hot and fresh. If it's your birthday, the entire staff comes out to sing happy birthday with a huge rooster and put the sombrero on you , lol it's hilarious . I definitely recommend.",1735565892,FALSE,"SOFIA'S TAQUERIA"
"Sandra Pellegrini","https://www.google.com/maps/contrib/113312639991820628956/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocKEcUQYddYBmWTwi7dpzp0DRlGabcKTx22zV-10CwoMaLQtlA=s128-c0x00000000-cc-rp-mo-ba5",4.4,"10 months ago","Went for friends birthday. Service was fast & efficient. Guacamole was delicious! I had red sangria super tasty. My friend had margarita & she loved.
All food was very good. We're definitely going back !
Highly recommend. Very cute spot especially for bday celebration",1719168566,FALSE,"SOFIA'S TAQUERIA"
"Fatima Lemus","https://www.google.com/maps/contrib/113373007757815448423/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjXWHxuYhUySgwTpVYMKAEEZGFWoJ9OeZ5BEtzyY5UD0LH8rJU64=s128-c0x00000000-cc-rp-mo-ba3",4.4,"4 months ago","I have to admit Sofias has become one of my favorite spots. I love the food and of course the margaritas. The location on Amboy was the only one I was missing to try in Staten Island and it didn’t disappoint me at all. The service was great and the food delicious.",1733676806,FALSE,"SOFIA'S TAQUERIA"
"Chad Jacobson","https://www.google.com/maps/contrib/106858711860438805620/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjWMM5ZYuU7RjCL93YQGfjVfdptsKW9G2FJ8aqjtcYRGOqz3PQkqdw=s128-c0x00000000-cc-rp-mo-ba4",4.4,"6 months ago","I was seated adjacent to the bathroom and was not happy. They were not too accommodating when I asked to move tables. With all the available options close to me, I don’t think I would return anytime soon. Besides that little debacle, the overall experience was enjoyable. The food was just okay, and nothing to brag about. And, oh yes, my water glass smelled like a dirty mop. I have no clue about this, but when I raised the glass to my mouth, it had a foul smell. Sorry, I have no clue here.",1728682679,FALSE,"SOFIA'S TAQUERIA"
"Tatyana Soldatkina","https://www.google.com/maps/contrib/104691775236687165978/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjU-4CnaXeZRHE3Dddds8tX1BCZgYxq4qwb3pd9s-r5H40oPFI5tQg=s128-c0x00000000-cc-rp-mo-ba2",4.4,"4 months ago","Great place to hang out or celebrate a bday. Food is good but wasn’t a fan of their dessert. Drinks are strong and good.",1734829206,FALSE,"SOFIA'S TAQUERIA"
"Carl Petter Opsahl","https://www.google.com/maps/contrib/114838607824321156282/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjWdmWF7phpUuhwUwJS73TdXo0tqPjBBC_C86gmQLyFvgjoXYA=s128-c0x00000000-cc-rp-mo-ba6",3,"5 years ago","One of the several food vendors at the Staten Island side of Staten Island Ferry. A small place with most of the stuff you need from a deli, in addition to souvenirs. They also offer a selection of hot meals. Their Brooklyn style Burger is generous, a double Burger with cheese and toppings. But it was  rather tasteless.",1573736065,FALSE,"STATUE OF LIBERTY DELI"
"Jasmine H","https://www.google.com/maps/contrib/104731006993930939215/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocLlQWX4OK8YLpkM5BdTm7X6prK96iPZv6846K97RB_BD0zQ7g=s128-c0x00000000-cc-rp-mo",3,"4 years ago","The people working there were respectful got the french toast breakfast for 6.50 not bad. Was ready within 7 minutes. They have beer suevenirs",1599952916,FALSE,"STATUE OF LIBERTY DELI"
"Kandi","https://www.google.com/maps/contrib/107195055419767879448/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocLPM-ButYtvucTD3WrQfyF-S44XlRgVgmM75Hb4y1EGbPCfRg=s128-c0x00000000-cc-rp-mo-ba5",3,"6 years ago","Horrible place, what a jerk the guy was running it. My husband and I were at the terminal waiting for the ferry and saw the mini statue of liberty in front of the store. So I got my husband to take a pic with it, then I try to take a pic of my husband with the statue. And some other lady moved the crowns they had hanging on the statue, then the guy inside went ballistic yelling at us and swearing. We didn't touch the statue or the crowns, what a jerk. We were going to look for something in there, but after that treatment. Hell no! Beware visitors and tourists.",1544753535,FALSE,"STATUE OF LIBERTY DELI"
"Nathysha Lee","https://www.google.com/maps/contrib/115380940910962936117/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocJmag3MNzLKvzERYIgIsQLHQKrvsxrhjybAwZ2ww4QrbuUc8Q=s128-c0x00000000-cc-rp-mo",3,"2 years ago","Very disgusting attitude, cursed at my daughter when she asked for napkins and a straw. I ordered a hot coffee and milk was open and expired. I asked for another milk and they refused to provide service. It wasn’t a good experience, it was disgusting and petty back and forth with the person in charge instead of the cashier providing service. It was embarrassing and unpleasant",1668636902,FALSE,"STATUE OF LIBERTY DELI"
"Andres R.","https://www.google.com/maps/contrib/114702266462751602033/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocI8Etvm34zVxfYZ3P9rUumzKTHmVezixsgxcVNBv5lujqWY4z4=s128-c0x00000000-cc-rp-mo-ba3",3,"a year ago","That bacon egg and cheese was disgusting, I think they spit in it. Also the coffee tasted bad. Like spoiled milk. My mouth taste like throw up.",1689246067,FALSE,"STATUE OF LIBERTY DELI"
"Paris Valentine (bubbles)","https://www.google.com/maps/contrib/101084227816009295774/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjU9yWm33PTZD1hgqNODvpvXekA8xFJfj49QVnbiPRkdfRJP501m=s128-c0x00000000-cc-rp-mo-ba3",4.4,"a week ago","Amazing!!!! Service was quick and always with a smile, and when it came to paying they were very accommodating as due to not being from the US they explained how the service charge/tipping worked.
Thank you to our waitress for the lovely service and recommending dishes etc. and for the young gentleman’s for being accommodating and offering to clear plates and box food up for us.
Was so good we went twice in one week during our stay in New York.",1744481461,FALSE,"THE WEST SHORE INN RESTAURANT"
"Anthony Natale","https://www.google.com/maps/contrib/108325149724916163571/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocLz8APYVTLuRNTXpbTeKviRIWlErIHMPe2E40JRBJEAeHVAZg=s128-c0x00000000-cc-rp-mo",4.4,"2 months ago","Absolutely phenomenal experience! From the moment we walked in, the atmosphere was warm and inviting. The service was top-notch—our server was attentive, friendly, and knowledgeable about the menu.

The steak was simply outstanding. We ordered the bone-in tomahawk, and it was cooked to perfection—perfectly charred on the outside and tender and juicy on the inside. The seasoning was spot on, and the flavor was out of this world. We got 2 Lobster tails on the side and equally as impressive. The sides were phenomenal too. Lobster mac and cheese, creamed spinach, mashed potatoes and onion rings which all paired perfectly with the steak.

Our bartender Liz, made some amazing cocktails to go along with the dinner. Even the manager (Lauren) was great and made sure every aspect of our meal was perfect.

Overall, this was one of the best dining experiences I've had in a long time. If you're a steak lover this place is a must-visit! Will definitely be back soon.",1737858720,FALSE,"THE WEST SHORE INN RESTAURANT"
"Corrine J","https://www.google.com/maps/contrib/109861100852796957330/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjWXdAMssCYCKg20AOHwqzBm_OklsT7Dji_kURw5FQUodzFKaPLsAw=s128-c0x00000000-cc-rp-mo-ba6",4.4,"2 months ago","Steak was delicious 😋
Spinach was delicious 😋
Dessert- Delicious 😋

Server: Wasn't attentive, never introduced herself, we had to ask for water, condiments, etc.
I'm sure she's been there a long time but Her service wasn't Good. Still gave her a Great tip.",1738817485,FALSE,"THE WEST SHORE INN RESTAURANT"
"Yuliia Zinchenko","https://www.google.com/maps/contrib/105734338172668328730/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjW5pvXTb79Zlkpm2w9GlZ6_sU5_h21KRof8h11Eh5wnjfqh4FnzlA=s128-c0x00000000-cc-rp-mo-ba4",4.4,"2 weeks ago","Wonderful food, one of the best steak ever had in the NYC borough. Great selection of cocktails. Cool atmosphere. Friendly staff. Highly recommended!",1743820686,FALSE,"THE WEST SHORE INN RESTAURANT"
"lisa moleta","https://www.google.com/maps/contrib/112390272893008563028/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocKZM-51n92cJLY4Q0EeyOMJbVnJIifS-ruz_Pj7Gal74rqDAw=s128-c0x00000000-cc-rp-mo-ba4",4.4,"3 months ago","Love this establishment, has been around for decades! Food will NEVR disappoint you. Great family restaurant on the loud side, fun atmosphere. Pork chops to die for and the tomahawk steak was delicious; cooked to perfection",1736474023,FALSE,"THE WEST SHORE INN RESTAURANT"
"Yuriy K","https://www.google.com/maps/contrib/100177418153856456072/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjW_RceNNG7lCqHD4r1r4wOPq0v_T11tMTULoS3FhBGNxkKwDKeu=s128-c0x00000000-cc-rp-mo-ba5",4.6,"8 months ago","Fair pricing. Tasty sandwiches with fresh ingredients. It's on Plaza and plenty of free parking.",1724257340,FALSE,"A & S CATERERS-GRILL"
"Thomas P Smith NY REAL ESTATE","https://www.google.com/maps/contrib/106739888365811694852/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjWzSNV-GFfDaiRXR9_eWx7uvagnP6TsYqVVh-RuHVrxPfMo-WxWig=s128-c0x00000000-cc-rp-mo-ba5",4.6,"2 years ago","Great pricing great breakfast and lunch spot. Super clean and everything is always fresh. We cater our lunches here often. They do great large sandwiches and salads.",1675007993,FALSE,"A & S CATERERS-GRILL"
"Frank Cuccia","https://www.google.com/maps/contrib/116526733369039409201/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocLwmzmsHaP9dVLFcbtwpBXCm4T9yPNIvgrCHbbqMY8PIVBUTw=s128-c0x00000000-cc-rp-mo",4.6,"a year ago","What a great neighborhood gem. Every holiday and family gathering I have we use them and everything has always been nothing short of phenomenal, also not to mention very fairly priced. Staff is great and the manager Angelo always takes the time to personally sit down with me to schedule and create my catering order. Fresh bread and fresh cold cults. Awesome place for breakfast, lunch and catering. 5 out of 5 stars every time. They don’t miss!",1696427540,FALSE,"A & S CATERERS-GRILL"
"jeffmaira","https://www.google.com/maps/contrib/103950856532338585366/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocJSRsiDEkDw9osgXOZpb4a0SoTills3TpsVaGRJb59EN0kmJA=s128-c0x00000000-cc-rp-mo",4.6,"a year ago","Staff super friendly..Marisa on the grill... she's a master!  Really might have been the best cheesteak I've found on SI. There are others that are good but they are not like this one.  Lafrieda rib eye cooked to perfection. Thin crispy juicy and loaded! The bread is genuine NY Italian hero.. it's perfect.  I got light onions and they were diced and crispy yet caramelized and grilled. Also a great price with fries and drink. Under $16!  Again the staff is so nice and happy to make you great food.  They also have hot food ready to go that looks so good.  Go support local business and say hi to Marisa.. she's a gem!",1706118647,FALSE,"A & S CATERERS-GRILL"
"Amy Urciuoli","https://www.google.com/maps/contrib/106521514587551867772/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVdd7qDJ7DqJ_CI58x4pqe8dw0LsBxfS6KATC2PwF2ilMbbTF8=s128-c0x00000000-cc-rp-mo-ba2",4.6,"a year ago","Ordered for my sons military graduation party they are very accommodating friendly fairly priced  and the food was fresh!! The trays were still warm from coming out of the oven when they arrived to my house !!! I cannot remember the gentleman’s name that delivered the food but he was very nice and set it all up for us.  Food was excellent everyone at the party raved how good the food was and nothing was left at the end.  Will absolutely use them again !",1683431848,FALSE,"A & S CATERERS-GRILL"
"Mora","https://www.google.com/maps/contrib/104059831558582946589/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjX3bkuKrFSJBXDZgLiLY4B3XLti0wUOg0kXrtP1gBoJTuO1oF7o=s128-c0x00000000-cc-rp-mo-ba3",4,"a month ago","RIP to one of my childhood diners. I wasn’t able to get here before they closed, but just a few months ago had a breakfast here & it felt like I was a kid again. Familiar faces, & they recognized me! The food was always good, but I’m a creature of habit and always got the same thing (hence the 4 stars). Glad we were able to try it again as an adult- love you all and best of luck moving forward! ❤️❤️❤️❤️",1740611295,FALSE,"JERRY'S 637 DINER"
