"violation.code","violation.description"
"04N","Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies."
"05H","No approved written standard operating procedure for avoiding contamination by refillable returnable containers."
"05D","No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area.  Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device."
"06C","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container.  Condiments not in single-service containers or dispensed directly by the vendor."
"06B","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed."
"06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred."
"04L","Evidence of mice or live mice present in facility's food and/or non-food areas."
"10D","Mechanical or natural ventilation not provided, inadequate, improperly installed, in disrepair or fails to prevent and control excessive build-up of grease, heat, steam condensation, vapors, odors, smoke or fumes."
"08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist."
"02H","After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2  hours, and from 70 °F to 41 °F or less within 4 additional hours."
"22C","Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur."
"02H","After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2 hours, and from 70 °F to 41 °F or less within 4 additional hours."
"05D","Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided."
"19-06","Providing single-use, non-compostable plastic straws to customers without customer request (including providing such straws at a self-serve station)"
"06A","Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed."
"06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service."
"04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan."
"20-04","“Choking first aid” poster not posted. “Alcohol and pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted."
"10B","Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of."
"04A","Food Protection Certificate (FPC) not held by manager or supervisor of food operations."
"02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation."
"04K","Evidence of rats or live rats present in facility's food and/or non-food areas."
"06C","Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service."
"10G","Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient."
"02C","Hot TCS food item that has been cooked and cooled is being held for service without first being reheated to 165º F or above within 2 hours."
"15-33","Warning sign re dangers of hookah smoking not posted in each room or area of Non-Tobacco Hookah Establishment (NTHE) where smoking is allowed"
"10E","Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment"
"04N","Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies."
"05F","Insufficient or no refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures."
"04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies."
"06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored."
"06C","Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor."
"04J","Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding."
"05D","No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device."
"28-06","Contract with a pest management professional not in place. Record of extermination activities not kept on premises."
"02C","Hot food item that has been cooked and refrigerated is being held for service without first being reheated to 165º F or above within 2 hours."
"10H","Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device."
"18-08","Permit not conspicuously displayed."
"10H","Single service article not provided.  Single service article reused or not protected from contamination when transported, stored, dispensed.  Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device."
"10D","Mechanical or natural ventilation system not provided,  improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes."
"10G","Dishwashing and ware washing:  Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient."
"09C","Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained."
"10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly."
"05H","Written Standard Operating Procedure (SOP) approved by the Department for refillable, reusable containers not available at the time of inspection.  Container construction improper"
"15-27","Sign prohibiting smoking or using electronic cigarettes not conspicuously posted."
"10I","Single service item reused, improperly stored, dispensed; not used when required."
"10A","Toilet facility not maintained or provided with toilet paper, waste receptacle or self-closing door."
"06A","Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required.  Jewelry is worn on hands or arms.  Fingernail polish worn or fingernails not kept clean and trimmed."
"08B","Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance."
"04C","Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment."
"16B","The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturer’s documentation not maintained on site."
"02H","Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours."
"10C","Lighting inadequate; permanent lighting not provided in food preparation areas, ware washing areas, and storage rooms. Shatterproof bulb or shield to prevent broken glass from falling into food or onto surfaces, not installed."
"28-01","Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying condition."
"10E","Accurate thermometer not provided in refrigerated or hot holding equipment."
"06A","Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required.  Jewelry worn on hands or arms.  Fingernail polish worn or fingernails not kept clean and trimmed."
"28-04","Equipment used for ROP not approved by the Department"
"18-11","Food Protection Certificate not available for inspection"
"28-03","Lighting fixture located over, by or within food storage, preparation, service or display facility, and facility where utensils and equipment are cleaned and stored, which may shatter due to extreme heat, temperature changes or accidental contact; not fitted with shatterproof bulb or shielded and encased, with end caps or other device."
"08C","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used."
"09C","Design, construction, materials used or maintenance of food contact surface improper.  Surface not easily cleanable, sanitized and maintained."
"04J","Properly scaled and calibrated thermometer or thermocouple not provided or not readily accessible in food preparation and hot/cold holding areas to measure temperatures of TCS foods during cooking, cooling, reheating, and holding."
"04C","Food worker/food vendor does not use utensil or other barrier to eliminate bare hand contact with food that will not receive adequate additional heat treatment."
"04A","Food Protection Certificate not held by supervisor of food operations."
"18F","Permit not conspicuously displayed."
"16-03","Caloric content not posted on menus, menu boards or food tags, in a food service establishment that is 1 of 15 or more outlets operating the same type of business nationally under common ownership or control, or as a franchise or doing business under the same name, for each menu item that is served in portions, the size and content of which are standardized."
"20A","Food allergy information poster not conspicuously posted where food is being prepared or processed by food workers."
"22A","Nuisance created or allowed to exist.  Facility not free from unsafe, hazardous, offensive or annoying conditions."
"06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared."
"20-04","“Choking first aid” poster not posted. “Alcohol and Pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted."
"03A","Food, prohibited, from unapproved or unknown source, home canned or home prepared.  Animal slaughtered, butchered or dressed (eviscerated, skinned) in establishment. Reduced Oxygen Packaged (ROP) fish not frozen before processing.  ROP food prepared on premises transported to another site."
"20D","“Choking first aid” poster not posted. “Alcohol and pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted."
"03B","Shellfish not from approved source, improperly tagged/labeled; tags not retained for 90 days."
"15-21","Flavored tobacco products sold, offered for sale"
"28-06","Contract with a pest management professional not in place.  Record of extermination activities not kept on premises."
"16-04","Required succinct nutritional statements not posted on menu(s) for adults and children (2,000 calories per day for adults)"
"19-07","Failure to maintain a sufficient supply of single-use, non-compostable plastic straws."
"05F","Insufficient or no hot holding, cold storage or cold holding equipment provided to maintain Time/Temperature Control for Safety Foods (TCS) at required temperatures"
"04O","Live animal other than fish in tank or service animal present in facility’s food or non-food area."
"09A","Swollen, leaking, rusted or otherwise damaged canned food to be returned to distributor not segregated from intact product and clearly labeled DO NOT USE"
"16-06","Additional nutritional information statement not posted, or additional nutritional information not provided"
"10A","Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door."
"05H","No facilities available to wash, rinse and sanitize utensils and/or equipment."
"16E","Additional nutritional information statement not posted, and/or additional nutritional information not provided."
"15E2","Flavored tobacco products sold or offered for sale"
"04E","Toxic chemical or pesticide improperly stored or used such that food contamination may occur."
"20-01","Food allergy information poster not conspicuously posted where food is being prepared or processed by food workers."
"28-05","Food adulterated or misbranded.  Adulterated or misbranded food possessed, being manufactured, produced, packed, sold, offered for sale, delivered or given away"
"03A","Food, prohibited, from unapproved or unknown source, home canned or home prepared. Animal slaughtered, butchered or dressed (eviscerated, skinned) in establishment. Reduced Oxygen Packaged (ROP) fish not frozen before processing. ROP food prepared on premises transported to another site."
"15L","Smoke free workplace smoking policy inadequate, not posted, not provided to employees."
"05C","Food contact surface, refillable, reusable containers, or equipment improperly constructed, placed or maintained. Unacceptable material used. Culinary sink or other acceptable method not provided for washing food."
"22E","ROP processing equipment not approved by DOHMH."
"19-10","Failure to display required signage about plastic straw availability"
"05A","Sewage disposal system is not provided, improper, inadequate or unapproved."
"18-12","Document issued by the Board of Health, Commissioner or Department reproduced or altered. False, untrue or misleading statement or document made to, submitted or filed with the Department"
"06B","Tobacco or electronic cigarette use, eating, or drinking from open container in food preparation, food storage or dishwashing area."
"04B","Food worker or vendor working or is knowingly or negligently permitted to work in FSE while afflicted with  infected wound  or reportable communicable disease.  No spitting allowed. Spitting anywhere in the establishment is prohibited."
"02A","Time/Temperature Control for Safety (TCS) food not cooked to required minimum internal temperature.   • Poultry, poultry parts, ground and comminuted poultry, all stuffing containing poultry, meats, fish or ratites to or above 165 °F for 15 seconds with no interruption of the cooking process   • Ground meat, and food containing ground and comminuted meat, to or above 158 °F for 15 seconds with no interruption of the cooking process, except per individual customer request  • Pork, any food containing pork to or above 150 °F for 15 seconds  • Mechanically tenderized or injected meats to or above 155 °F.  • Whole meat roasts and beef steak to or above required temperature and time except per individual customer request  • Raw animal foods cooked in microwave to or above165 °F, covered, rotated or stirred   • All other foods to or above 140 °F for 15 seconds; shell eggs to or above 145 °F for 15 seconds except per individual customer request."
"19-04","Expanded Polystyrene (EPS) single service article not designated as a recyclable material."
"06G","HACCP plan not approved or approved HACCP plan not maintained on premises."
"05B","Harmful noxious gas or vapor detected.  Carbon Monoxide (CO) level exceeds nine (9) ppm"
"16-02","The original nutrition fact labels or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturer’s documentation not maintained on site."
"08B","Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty."
"19-10","Failure to display required signage about plastic straw availability."
"28-05","Food adulterated or misbranded. Adulterated or misbranded food possessed, being manufactured, produced, packed, sold, offered for sale, delivered or given away"
"03A","Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site."
"16-10","Sodium Warning statement not posted conspicuously at the point of purchase. “Warning: [icon image] indicates that the sodium (salt) content of this item is higher than the total daily recommended limit (2300 mg). High sodium intake can increase blood pressure and risk of heart disease and stroke.”"
"03C","Unclean or cracked whole eggs or unpasteurized liquid, frozen or powdered eggs kept or used."
"15-01","Smoking or electronic cigarette use allowed in prohibited area"
"15-42","Failure to make a good faith effort to inform smokers or electronic cigarette users of Smoke-Free Air Act (""SFAA"") prohibitions"
"02I","TCS food removed from cold holding or prepared from or combined with ingredients at room temperature not cooled by an approved method to 41 °F or below within 4 hours."
"02I","Food prepared from ingredients at ambient temperature not cooled to 41º F or below within 4 hours."
"04D","Food worker does not wash hands thoroughly after using the toilet, coughing, sneezing, smoking, eating, preparing raw foods or otherwise contaminating hands."
"18D","Failure to comply with an Order of the Board of Health, Commissioner, or Department."
"04D","Food worker/food vendor does not wash hands thoroughly  after using the toilet, or after coughing, sneezing, smoking, eating, preparing raw foods or otherwise contaminating hands or does not change gloves when required; Worker fails to refrain from smoking or  being fully clothed in clean outer garments."
"02C","Hot TCS food item that has been cooked and  cooled is being held for service without first being reheated to 165º F or above within 2 hours."
"03B","Shellfish not from approved source, not or improperly tagged/labeled; tags not retained for 90 days."
"02A","Time/Temperature Control for Safety (TCS) food not cooked to required minimum internal temperature. • Poultry, poultry parts, ground and comminuted poultry, all stuffing containing poultry, meats, fish or ratites to or above 165 °F for 15 seconds with no interruption of the cooking process  • Ground meat, and food containing ground and comminuted meat, to or above 158 °F for 15 seconds with no interruption of the cooking process, except per individual customer request• Pork, any food containing pork to or above 150 °F for 15 seconds• Mechanically tenderized or injected meats to or above 155 °F.• Whole meat roasts and beef steak to or above required temperature and time except per individual customer request• Raw animal foods cooked in microwave to or above165 °F, covered, rotated or stirred  • All other foods to or above 140 °F for 15 seconds; shell eggs to or above 145 °F for 15 seconds except per individual customer request."
"16-08","Sodium Warning icon not posted on menus, menu boards or food tags for food items that contain 2300mg or more of sodium in a food service establishment that is 1 of 15 or more outlets operating the same type of business nationally under common ownership or control, or as a franchise or doing business under the same name, for each menu item that is served in portions, the size and content of which are standardized"
"28-07","Unapproved outdoor, street or sidewalk cooking."
"04D","Food worker/food vendor does not wash hands thoroughly after using the toilet, or after coughing, sneezing, smoking, eating, preparing raw foods or otherwise contaminating hands or does not change gloves when required; Worker fails to refrain from smoking or being fully clothed in clean outer garments."
"09A","Canned food product observed dented and not segregated from other consumable food items."
"05E","Insufficient or no refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures."
"04O","Live animals other than fish in tank or service animal present in facility's food and/or non-food areas."
"15-39","Ashtray present in smoke-free area."
"22G","Sale or use of certain expanded polystyrene items restricted"
"16J","Sodium Warning - Icon not posted"
"15-22","Original label for smoking products sold or offered for sale."
"03F","Unpasteurized milk or milk product (except certain aged cheese) served."
"18G","Manufacture of frozen dessert not authorized on Food Service Establishment permit. Milk or milk product undated, improperly dated or expired."
"05A","Sewage disposal system improper or unapproved."
"04F","Food preparation area, food storage area, or other area used by employees or patrons, contaminated by sewage or liquid waste."
"18C","Notice of the Department of Board of Health mutilated, obstructed, or removed."
"04F","Food, food preparation area, food storage area, or other area used by employees or patrons, contaminated by sewage or liquid waste."
"04F","Food, food preparation area, food storage area, area used by employees or patrons, contaminated by sewage or liquid waste."
"04E","Toxic chemical improperly labeled, stored or used such that food contamination may occur."
"16D","Required nutritional information statement not posted (2,000 calories per day)."
"19-11","Providing compostable plastic straws to be used outside of the food establishment’s premises; failure to appropriately dispose of compostable plastic straws; failure to maintain required bins for disposal of compostable plastic straws."
"19-05","Providing single-use plastic stirrers or single-use plastic splash sticks."
"18B","Document issued by the Board of Health, Commissioner or Department unlawfully reproduced or altered."
"06H","Records and logs not maintained to demonstrate that HACCP plan has been properly implemented."
"09D","Food service operation occurring in room or area used as living or sleeping quarters."
"15A1","No Smoking permitted in an area where it is prohibited"
"15I","“No Smoking” and/or “Smoking Permitted” sign not conspicuously posted. Health warning not present on “Smoking Permitted” sign."
"05C","Food contact surface improperly constructed or located. Unacceptable material used."
"15F2","Operator failed to make a good faith effort to inform smokers or users of electronic cigarettes of the SFAA"
"20-05","Current letter grade or ""Grade Pending"" card not conspicuously posted or visible to passersby"
"02D","Precooked potentially hazardous food from commercial food processing establishment that is supposed to be heated, but is not heated to 140º F within 2 hours."
"16-01","A food containing artificial trans-fat, with 0.5 grams or more of trans fat per serving, is being stored, distributed, held for service, used in preparation of a menu item, or served."
"07A","Duties of an officer of the Department interfered with or obstructed."
"15F7","Sign prohibiting smoking or using electronic cigarettes not conspicuously  posted"
"05C","Food contact surface, refillable, reusable containers, or equipment improperly constructed, placed or maintained. Unacceptable material used.  Culinary sink or other acceptable method not provided for washing food."
"16K","Sodium Warning - Icon not compliant"
"05C","Design, construction, materials used or maintenance of food contact surface improper.  Surface not easily cleanable, sanitized and maintained.  Culinary sink or other acceptable method not provided for washing food."
"05E","Toilet facility not provided for employees or for patrons when required. Shared patron-employee toilet accessed through kitchen, food prep or storage area or utensil washing area."
"05B","Harmful noxious gas or vapor detected. Carbon Monoxide (CO) level exceeds nine (9) ppm"
"03E","No or inadequate potable water supply. Water or ice not potable or from unapproved source. Bottled water not NY State certified. Cross connection in potable water supply system."
"02A","Food not cooked to required minimum temperature."
"02D","Commercially processed pre-cooked TCS in hermetically sealed containers and precooked TCS in intact packages from non-retail food processing establishments not heated to 140 °F within 2 hours of removal from container or package."
"04I","Non-TCS food that has been served to the public being re-served. (Does not apply to wrapped foods where the wrapper seal has not been broken or opened)."
"02F","Meat, fish, molluscan shellfish, unpasteurized raw shell eggs, poultry or other TCS offered or served raw or undercooked and written notice not provided to consumer."
"06H","Records and logs not maintained to show that approved HACCP plan has been properly implemented."
"10G","Food service operation occurring in room used as living or sleeping quarters."
"03E","Potable water supply inadequate. Water or ice not potable or from unapproved source. Cross connection in potable water supply system observed."
"20E","Letter grade or Grade Pending card not conspicuously posted and visible to passersby."
"16L","Sodium Warning - Statement"
"03D","Food package (including canned food product or hermetically sealed container) not in good condition to the degree contents are not suitable for human consumption.  Package is swollen, leaking or rusted, without “DO NOT USE” label or not segregated from consumable food items."
"18-01","Current valid permit, registration or other authorization to operate a Food Service Establishment (FSE) or Non-retail Food Processing Establishment (NRFP) not available."
"02F","Meat, fish or molluscan shellfish served raw or undercooked without prior notification to customer."
"03D","Food package (including canned food product or hermetically sealed container) not in good condition to the degree contents are not suitable for human consumption. Package is swollen, leaking or rusted, without “DO NOT USE” label or not segregated from consumable food items."
"03E","No or inadequate potable water supply. Water or ice not potable or from unapproved source. Bottled water not NY State certified.  Cross connection in potable water supply system."
"19-01","Organics containers not provided"
"05B","Harmful, noxious gas or vapor detected. CO =13 ppm."
"18-13","Failure to comply with an order of the Board of Health, Commissioner or Department."
"16-09","Sodium Warning icon posted on menus, menu boards or food tags for food items that contain 2300mg or more of sodium is not a black and white equilateral triangle; or the  equilateral triangle is not as wide as it is tall, or is not equal in height to the largest letter in the food item’s name, as displayed on the menu, menu board, or tag."
"19-03","Failure to post signage in organics collection area."
"16A","A food containing artificial trans fat, with 0.5 grams or more of trans fat per serving, is being stored, distributed, held for service, used in preparation of a menu item, or served."
"04P","Food containing a prohibited substance held, kept, offered, prepared, processed, packaged, or served."
"19-08","Failure to provide a single-use, non-compostable plastic straw upon request."
"03D","Canned food product observed swollen, leaking or rusted, and not segregated from other consumable food items."
"15S","Flavored tobacco products sold or offered for sale"
"18-14","Order or notice posted or required to be posted by the Department mutilated, obstructed or removed."
"04B","Food worker or vendor working or is knowingly or negligently permitted to work in FSE while afflicted with infected wound or reportable communicable disease. No spitting allowed. Spitting anywhere in the establishment is prohibited."
"15-17","Sale of tobacco products, herbal cigarettes, liquid nicotine, shisha, rolling papers or smoking paraphernalia to minors prohibited"
"22B","Toilet facility used by women does not have at least one covered garbage receptacle."
"15E3","Original label for smoking products sold or offered for sale"
"20-07","Letter grade or Grade Pending card removed, destroyed, modified, obscured, or otherwise tampered with"
"06I","Food not labeled in accordance with the approved HACCP plan"
"18-02","Current valid permit, registration or other authorization to operate a Temporary Food Service Establishment (TFSE) not available."
"06I","Food not labeled in accordance with HACCP plan."
"03C","Eggs found dirty/cracked; liquid, frozen or powdered eggs not pasteurized."
